,周一0731,周二0801,周三0802,周四0803,周五0804
市场焦点股,"荣盛发展 11天8板2连板;
中央商场 12天8板2连板;
太平洋 5天4板2连板;
海马汽车 3连板;","国创高新 5连板;
法尔胜 5天3板;","法尔胜 6天4板2连板;
鸿博股份 8天4板;
柯利达 8天4板;
国缆检测 2连板;","荣盛发展 14天9板;
柯利达 9天5板2连板;
惠发食品 3连板;
天晟新材 5天3板;","柯利达 10天6板3连板;
国缆检测 4天3板;
首创证券 6天3板2连板;
顶点软件 6天3板2连板;"
传媒,,,,,
汽车产业链,海马汽车 3连板;,众泰汽车 2连板;,力帆科技 2连板;,,
房地产产业链,"荣盛发展 11天8板2连板;
金科股份 7天5板;
国创高新 4连板;
天房发展 7天4板;
中南建设 7天4板;
城建发展 5天3板2连板;
华远地产 5天3板;",国创高新 5连板;,云南城投 2连板;,"荣盛发展 14天9板;
云南城投 3连板;",京投发展 2连板;
基建,"美丽生态 5天3板2连板;
苏州规划 4天2板;",,,,柯利达 10天6板3连板;
旅游酒店,,,,,
纺织服饰,"美邦服饰 8天4板;
红蜻蜓 2连板;",,,,
零售,"中央商场 12天8板2连板;
国芳集团 8天5板4连板;
国光连锁 8天5板;
人人乐 9天5板;",,,,
大金融,"太平洋 5天4板2连板;
天晟新材 2连板;
瑞达期货 2连板;
西南证券 2连板;",,"财达证券 2连板;
大智慧 4天2板;",天晟新材 5天3板;,"首创证券 6天3板2连板;
顶点软件 6天3板2连板;"
医药生物,,,,,
钢铁,,重庆钢铁 5天3板;,,,
核电,,华西能源 2连板;,,,
电力,,,,,
科学仪器,,,,,
超导,,"法尔胜 5天3板;
金徽股份 3天2板;","中孚实业 2连板;
百利电气 2连板;
国缆检测 2连板;",,"百利电气 4天3板;
国缆检测 4天3板;"
AI,,,鸿博股份 8天4板;,,
复合集流体,,,,,
食品饮料,,,,惠发食品 3连板;,
数据要素,,,,,
