,周一1211,周二1212,周三1213,周四1214,周五1215
市场焦点股,"东安动力 23天12板;
龙版传媒 14天9板;
文投控股 4连板;
四川金顶 4连板;","龙版传媒 15天10板2连板;
南京商旅 11天8板;
文投控股 5连板;
四川金顶 5连板;","引力传媒 20天11板;
四川金顶 6连板;
文投控股 6连板;
日海智能 10天6板2连板;
微创光电 3连板;","引力传媒 21天12板2连板;
苏州科达 6连板;","引力传媒 22天13板3连板;
中广天择 19天10板;
南宁百货 5连板;
上海建科 7天5板4连板;"
人工智能,"10只;
苏州科达 3连板;
恒银科技 6天3板;
金自天正 2连板;","8只;
苏州科达 4连板;
博信股份 2连板;
云鼎科技 2连板;","5只;
苏州科达 5连板;
博信股份 3连板;
云鼎科技 3连板;
汉王科技 2连板;","3只;
苏州科达 6连板;
博信股份 4连板;
实丰文化 4天2板;","3只;
实丰文化 5天3板2连板;"
文化传媒,"8只;
龙版传媒 14天9板;
文投控股 4连板;
出版传媒 4天3板;
国脉文化 3天2板;","4只;
龙版传媒 15天10板2连板;
文投控股 5连板;
龙韵股份 2连板;","4只;
引力传媒 20天11板;
文投控股 6连板;
龙韵股份 3连板;","6只;
引力传媒 21天12板2连板;
龙韵股份 4连板;","5只;
引力传媒 22天13板3连板;
中广天择 19天10板;
出版传媒 8天4板;
内蒙新华 2连板;
中南文化 2连板;"
MR/VR,"5只;
五方光电 3连板;
亿道信息 6天3板;
罗曼股份 6天3板;",,,,
汽车产业链,"5只;
东安动力 23天12板;
联明股份 10天5板;
四川金顶 4连板;","5只;
四川金顶 5连板;
日海智能 9天5板;",,,
充电桩,"2只;
北巴传媒 6天3板;",,,,
大金融,2只;,,,,
北交所,6只;,"10只;
微创光电 2连板;","8只;
微创光电 3连板;",11只;,10只;
教育,,5只;,,,
房地产产业链,,"6只;
中迪投资 6天3板2连板;",,,"4只;
大龙地产 4天2板;
科新发展 4天2板;"
食品饮料,,"3只;
一鸣食品 6天4板;",,,
国企改革,,"9只;
南京商旅 11天8板;
南京日用 3连板;
南宁百货 2连板;
汇鸿集团 5天3板;
上海建科 4天2板;","13只;
四川金顶 6连板;
南宁百货 3连板;
上海建科 5天3板2连板;
济南高新 2连板;
珠江钢琴 2连板;
音飞储存 2连板;","12只;
南宁百货 4连板;
上海建科 6天4板3连板;
济南高新 3连板;
浙江震元 2连板;","10只;
南宁百货 5连板;
上海建科 7天5板4连板;
音飞储存 4连板;
龙头股份 8天4板2连板;
克劳斯 3连板;
岭南控股 2连板;
银宝山新 4天2板;"
机器人,,,"5只;
日海智能;","4只;
克劳斯 2连板;
福莱新材 2连板;",
电力,,,3只;,"4只;
京能热力 2连板;",
医药医疗,,,"7只;
通化金马 8天4板;",,
煤炭,,,,"2只;
云维股份 2连板;",
快递物流,,,,"2只;
音飞储存 3连板;",
腾讯游戏概念,,,,,3只;
电商,,,,,2只;
抗寒潮概念,,,,,"6只;
南京公用 6天4板;
京能热力 3连板;
云维股份 3连板;
廊坊发展 2连板;
杭州热电 2连板;"
供销社,,,,,2只;
