,周一1218,周二1219,周三1220,周四1221,周五1222
市场焦点股,"中广天择 20天11天2连板;
日海智能 13天7板;
龙头股份 9天5板3连板;
实丰文化 6天4板3连板;","中广天择 21天12板3连板;
实丰文化 7天5板4连板;
星光农机 3连板;
奥雅股份 3连板;
新瀚新材 2连板;","龙头股份 11天6板;
星光农机 4连板;
奥雅股份 3连板;","龙头股份 12天7板2连板;
星光农机 5连板;
龙韵股份 9天5板;
惠威科技 4连板;","永达股份 4连板;
中欣氟材 5天4板;
亚振家居 3连板;
亚世光电 3连板;"
人工智能,2只;,,,,
文化传媒,"4只;
中广天择 20天11板2连板;
内蒙新华 3连板;","4只;
中广天择 21天12板3连板;
元隆雅图 3天2板;","2只;
华扬联众 3天2板;",,
腾讯元梦之星,"2只;
恒大高新 2连板;
国旅联合 2连板;",,,,
PEEK概念,2只;,"6只;
中欣氟材 2连板;
新瀚新材 2连板;",,,
汽车产业链,"3只;
日海智能 13天7板;",,,,
消费电子,3只;,"2只;
实丰文化 7天5板4连板;
惠威科技 2连板;","2只;
惠威科技 3连板;","3只;
惠威科技 4连板;
亚世光电 2连板;
捷荣技术 4天2板;","2只;
亚世光电 3连板;
捷荣技术 5天3板2连板;"
航运,4只;,,,,
国企改革,"10只;
龙头股份 9天5板3连板;
欧亚集团 2连板;
上海凤凰 3天2板;
龙高股份 4天2板;","2只;
中毅达 4天2板;","5只;
龙头股份 11天6板;
中毅达 5天3板2连板;
龙高股份 6天3板;
浙江震元 6天3板;
亚通股份 2连板;",,
北交所,12只;,6只;,13只;,2只;,13只;
VR/MR,,"3只;
亿道信息 3天2板;","5只;
亿道信息 4天3板2连板;",,
机器人,,3只;,"3只;
泰禾智能 2连板;
银宝山新 4天2板;",,
光伏,,3只;,,"7只;
中科云网 3天2板;","4只;
中科云网 4天3板2连板;
清源股份 2连板;"
旅游酒店,,2只;,,,
传感器,,,2只;,,
农机,,,"3只;
星光农机 4连板;",,
电力,,,"2只;
杭州热电 5天3板;",,
次新股,,,"2只;
永达股份 2连板;",,"2只;
永达股份 4连板;"
储能,,,,"6只;
同力日升 2连板;",
房地产产业链,,,,"4只;
亚振家居 2连板;",
电商,,,,"3只;
元雅隆图 5天3板;
华斯股份 4天2板;",
字节跳动概念,,,,"4只;
龙韵股份 9天5板;",
纺织,,,,"2只;
龙头股份 12天7板2连板;",
农业,,,,"3只;
星光农机 5连板;",
食品饮料,,,,"2只;
威龙股份 3连板;",
锂电池,,,,,"3只;
领湃科技 2连板;"
家居装饰,,,,,"2只;
亚振家居 3连板;
科新发展 6天3板;"
