,周一1204,周二1205,周三1206,周四1207,周五1208
市场焦点股,"伟时电子 20天10板2连板;
东安动力 8连板;
引力传媒 13天8板2连板;
惠发食品 7连板;
中广天择 10天7板3连板;","东安动力 9连板;
惠发食品 8连板;
中广天择 11天8板4连板;
伟时电子 11天8板3连板;","南京商旅 7连板;
龙版传媒 11天7板4连板;
信雅达 5连板;
中纺标 3连板;","惠发食品 10天9板;
中广天择 13天9板;
引力传媒 16天9板;
龙版传媒 12天8板5连板;
信雅达 6连板;
昂立教育 5连板;","引力传媒 17天10板2连板;
网达软件 6天4板2连板;
天润科技 2连板;"
汽车产业链,"15只;
伟时电子 20天10板2连板;
东安动力 8连板;
威帝股份 4连板;
日海智能 3连板;
云内动力 6天3板;","10只;
东安动力 9连板;
伟时电子 11天8板3连板;
云内动力 7天4板2连板;
联明股份 6天3板;","5只;
银宝山新 19天10板;
联明股份 7天4板2连板;
天安新材 2连板;
索菱股份 3天2板;","3只;
日海智能 6天4板;
摩恩电气 3连板;
四川金顶 2连板;",
充电桩,2只;,,"2只;
摩恩电气 2连板;
北巴传媒 3天2板;",,
氢能,"2只;
蓝科高新 3天2板;",,3只;,,"4只;
四川金顶 3连板;
汉马科技 3天2板;
全柴动力 3天2板;"
人工智能,"6只;
网达软件 2连板;
昂立教育 2连板;","3只;
昂立教育 3连板;
亿道信息 2连板;
恒银科技 2连板;","4只;
昂立教育 4连板;
力盛体育 4天2板;","12只;
昂立教育 5连板;
力盛体育 5天3板2连板;
网达软件 5天3板;","3只;
华立股份 2连板;"
多模态模型,,,,,"7只;
引力传媒 17天10板2连板;
网达软件 6天4板2连板;
苏州科达 2连板;"
数据要素,"4只;
龙版传媒 9天5板2连板;
中公高科 2连板;","4只;
中广天择 11天8板4连板;
龙版传媒 10天6板3连板;
中公高科 3连板;","2只;
龙版传媒 11天7板4连板;",2只;,
短剧,"2只;
引力传媒 13天8板2连板;
中广天择 10天7板3连板;",,,,
电商,"4只;
返利科技 2连板;
因赛集团 2连板;
苏豪弘业 2连板;",,"2只;
因赛集团 4天3板;
返利科技 4天3板;",,
外贸,2只;,,,,
食品饮料,"2只;
惠发食品 7连板;
良品铺子 2连板;","9只;
惠发食品 8连板;
海欣食品 4天2板;",,"2只;
惠发食品 10天9板;
一鸣食品 3连板;",
医药,3只;,"5只;
通化金马 2连板;",,,"3只;
通化金马 5天3板;"
医药生物,,,4只;,,
振兴东北,2只;,,,,
中字头,4只;,,,,
锂矿,,"2只;
国机通用 2连板;",,,
锂电池,,,"9只;
国机通用 3连板;",,
创投,,2只;,,,
北交所,,"25只;
中纺标 2连板;","7只;
中纺标 3连板;",7只;,"4只;
天润科技 2连板;"
传媒,,,2只;,"11只;
中广天择 13天9板;
引力传媒 16天9板;
龙版传媒 12天8板5连板;
北京文化 2连板;
文投控股 2连板;
出版传媒 2连板;",
国企改革,,,"5只;
南京商旅 7连板;
南京化纤 2连板;",,"2只;
文投控股 3连板;
标准股份 3连板;"
光通信,,,,3只;,"10只;
五方光电 2连板;"
算力,,,,,2只;
天然气,,,,,3只;
