,周一1113,周二1114,周三1115,周四1116,周五1117
市场焦点股,"皇庭国际 5连板;
豪美新材 5连板;
西陇科学 4连板;","文一科技 21天12板;
龙洲股份 18天9板;
皇庭国际 6连板;
豪美新材 6连板;","天威视讯 10天8板;
皇庭国际 7连板;
西陇科学 6天5板;","西陇科学 7天6板2连板;
银宝山新 5连板;
龙高股份 5连板;
三柏硕 5连板;","西陇科学 8天7板3连板;
三柏硕 6连板;
银宝山新 6连板;"
芯片产业链,"3只;
皇庭国际 5连板;
西陇科学 4连板;","10只;
文一科技 21天12板;
皇庭国际 6连板;
福晶科技 7天4板;
至正股份 5天3板;","15只;
皇庭国际 7连板;
西陇科技 6天5板:
银宝山新 4连板;
至正股份 6天4板2连板;
宏昌电子 2连板:
元成股份 3天2板;","9只;
西陇科学 7天6板2连板;
银宝山新 5连板;
元成股份 4天3板2连板;
朗迪集团 3天2板;","15只;
西陇科学 8天7板3连板;
银宝山新 6连板;
宏昌电子 4天3板;
亚威股份 2连板;
跃岭股份 3天2板;
赛腾股份 3天2板;"
光通信,"3只;
豪美新材 5连板",,,,4只;
数据要素,3只;,,,,
卫星互联网,3只;,"5只;
龙洲股份 18天9板;
多伦科技 2连板;
达华智能 2连板;","4只;
多伦科技 3连板;
南京熊猫 2连板;",,
华为产业链,8只;,"9只;
传智教育 2连板;
九联科技 2连板;","4只;
传智教育 3连板;
延华智能 2连板;","3只;
多伦科技 4连板;","4只;
多伦科技 5连板;
延华智能 4天3板;
直真科技 2连板;"
汽车产业链,"9只;
银宝山新 2连板;
海马汽车 2连板;","5只;
银宝山新 3连板;
海马汽车 3连板;","11只;
统一股份 5天3板;
江铃汽车 2连板;",3只;,"11只;
统一股份 7天5板3连板;
海马汽车 6天4板;
江铃汽车 4天3板;
奥特佳 2连板;"
军工,4只;,,,,
航运&出口,"10只;
宁波远洋 3连板;
长江投资 6天3板2连板;
三柏硕 2连板;","5只;
宁波远洋 4连板;
三柏硕 3连板;
开创电气 2连板;",,,
算力,,"8只;
恒为科技 4天2板;","6只;
恒为科技 5天3板2连板;
中科金财 6天3板2连板;
美格智能 2连板;","5只;
恒为科技 6天4板3连板;",
机器人,,,2只;,,
光伏,,,"6只;
龙高股份 4连板;",,
锂电池,,,"9只;
迪生力 3天2板;",,
,,,,,
智能音箱,,,2只;,,
钢铁,,,"2只;
杭钢股份 2连板;",,
出口,,,"2只;
三柏硕 4连板;
开创电气 3连板;","2只;
三柏硕 5连板;","5只;
三柏硕 6连板;
四通股份 2连板;"
小米汽车,,,,2只;,
文化传媒,,,,2只;,
抖音,,,,7只;,"4只;
佳云科技 2连板;
广博股份 2连板;
省广集团 2连板;
引力传媒 2连板;"
复合集流体,,,,,3只;
智能驾驶,,,,,2只;
