,周一0911,周二0912,周三0913,周四0914,周五0915
市场焦点股,"捷荣技术 9天8板2连板;
冠石科技 4连板;
张江高科 4连板;
广信材料 5天3板;","华映科技 9天7板;
高鸿股份 3连板;
联合精密 3连板;","捷荣技术 11天9板;
华映科技 10天8板2连板;
通化金马 11天6板3连板;
联合精密 4连板;","捷荣技术 12天10板2连板;
通化金马 12天7板4连板;
联合精密 5连板;
立达信 7天5板3连板;
冠石科技 5连板;","通化金马 13天8板5连板;
联合精密 6连板;
冠石科技 8天6板2连板;
张江高科 8天5板;"
算力,2只;,,,,
CPO,2只;,"2只;
铭普光磁 2连板;",,,
华为产业链,"11只;
捷荣技术 9天8板2连板;
容联科技 2连板;
高鸿股份 2连板;
新纶新材 2连板;","6只;
华映科技 9天7板;
高鸿股份 3连板;","4只;
捷荣技术 11天9板;
华映科技 10天8板2连板;","6只;
捷荣技术 12天10板2连板;","4只;
武汉凡谷 2连板;
深赛格 3天2板;"
芯片产业链,"7只;
冠石科技 4连板;
张江高科 4连板;
奥普光电 4天3板2连板;
联合精密 2连板;","6只;
联合精密 3连板;
立达信 5天3板;","7只;
联合精密 4连板;
立达信 6天4板2连板;
京华激光 6天3板2连板;
蓝英装备 6天3板;","5只;
联合精密 5连板;
立达信 7天5板3连板;
冠石科技 5连板;","12只;
联合精密 6连板;
冠石科技 8天6板2连板;
张江高科 8天5板;
京华激光 8天4板;
东方嘉盛 6天3板2连板;"
智能驾驶,4只;,,,,
BC电池,"2只;
广信材料 5天3板;",,,,
元宇宙,2只;,,,,
医药,5只;,,,,"6只;
通化金马 13天8板5连板;"
汽车产业链,,5只;,,,4只;
大麻,,"3只;
通化金马 2连板;",,,
减肥药,,"3只;
常山药业 2连板;",,,
基建&环保,,,5只;,,
福建,,,10只;,,
5.5G,,,,6只;,
