,周一0724,周二0725,周三0726,周四0727,周五0728
市场焦点股,亚联发展 7天4板,"亚联发展 8天5板2连板;
荣盛发展 7天5板","荣盛发展 8天6板2连板;
金科股份 4连板;
山水比德 3连板;","锦和商管 4连板;
广西广电 5天4板;
国芳集团 6天3板2连板;","荣盛发展 10天7板;
中央商场 11天7板;
太平洋 4天3板;
财富趋势 4天2板;"
人工智能,,,,,
算力,,,,,
机器人,亚威股份 3天2板,,,,
房地产产业链,金科股份 2连板,"荣盛发展 7天5板;
金科股份 3连板;
大龙地产 4天3板;
锦和商管 2连板;
中南建设 3天2板;
天房发展 3天2板","荣盛发展 8天6板2连板;
金科股份 4连板;
锦和商管 3连板;
中南建设 4天3板2连板;
华远地产 2连板;
迪马股份 2连板;
新黄浦 2连板;","锦和商管 4连板;
国创高新 2连板;","荣盛发展 10天7板;
国创高新 3连板;
城建发展 4天2板"
基建,,"柯利达 2连板;
山水比德 2连板;","东方园林 6天4板;
柯利达 3连板;
山水比德 3连板;",,"龙泉股份 2连板;
美丽生态 4天2板;"
医药生物,,,,,
摘帽,,,,,
家居家电,,,,,
大金融,,,,,"太平洋 4天3板;
国海证券 4天2板;
首创证券 4天2板;
财富趋势 4天2板;
东吴证券 4天2板;
中国银河 4天2板;"
钢铁,,,,,
环保,,,,,
零售,,,"国光连锁 5天4板2连板;
人人乐 6天4板;",,"中央商场 11天7板;
国芳集团 7天4板3连板"
汽车产业链,,,,山子股份 2连板;,海马汽车 2连板
纺织,,,,,
