,周一,周二,周三,周四,周五
市场焦点股,"林州重机 14天8板;
国华网安 9天6板3连板;
众泰汽车 11天6板","中央商场 3连板;
翔腾新材 3连板;
智能自控 5天3板","众泰汽车 13天7板;
中央商场 4连板;
华是科技 5天3板","中央商场 5连板;
翔腾新材 5天4板;
省广集团 6天4板2连板","中央商场 6连板;
荣盛发展 5天4板3连板"
网络安全,"国华网安 9天6板3连板;
榕基软件 2连板",,,,
虚拟电厂,,,,,
3D打印,,,,,
消费电子,"翔腾新材 2连板
万润科技 3天2板",,,,
业绩,"林州重机 14天8板;
中央商场 2连板",,,,
芯片半导体,,,,,
先进封装chiplet,,,,,
变压器,,,,,
汽车产业链,,江铃汽车 2连板,"众泰汽车 13天7板;
兴民智通 4天2板",,
零售,,中央商场 3连板,中央商场 4连板,"中央商场 5连板;
人人乐 2连板;","中央商场 6连板;
人人乐 3连板;
国光连锁 2连板"
AI应用端,,,"华是科技 5天3板;
省广集团 5天3板",,
房地产,,,荣盛发展 3天2板;,荣盛发展 4天3板2连板,"荣盛发展 5天4板3连板;
大龙地产 2连板;
"
环保,,,,,
机器人&减速器,,,,中马传动 2连板,
锂电池,,,,,
文化传媒,,,,,南方传媒 3天2板
基建,,,,,东方园林 3连板
