序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,002786,银宝山新,3.001579761505127,6.52,6.96,584864256,3221610240.0,3231390240.0,17.88519287109375,0.0,092500,1,2/1,9.320694923400879,专用设备,2023-09-28
2,603011,合锻智能,2.7982325553894043,6.98,7.47,183190630,3451012770.26,3451012735.36,5.201015472412109,0.0,093100,1,0/0,8.394698143005371,专用设备,2023-09-28
3,603836,海程邦达,3.922872304916382,15.63,16.54,263453081,1339943847.99,3207826754.31,18.95061492919922,0.0,093102,2,0/0,6.914893627166748,物流行业,2023-09-28
4,603123,翠微股份,5.414438724517822,15.77,16.46,2338400144,10286391715.73,12596077317.44,22.834197998046875,-0.06337135285139084,093838,2,5/4,16.443849563598633,商业百货,2023-09-28
5,601015,陕西黑猫,8.486238479614258,4.73,4.8,572066016,9661013832.470001,9661013799.36,5.9018778800964355,0.0,093924,1,0/0,5.504587173461914,煤炭行业,2023-09-28
6,300823,建科机械,2.789616346359253,26.53,30.97,805894400,1452283797.23,2482122684.23,52.35226821899414,0.0,094106,1,2/1,18.829910278320312,专用设备,2023-09-28
7,301139,元道通信,14.380402565002441,39.69,41.64,928213376,2698356402.0,4825541952.0,34.66704559326172,0.0,094500,1,0/0,18.616714477539062,通信服务,2023-09-28
8,002351,漫步者,6.438896179199219,16.2,16.74,591332160,8101944777.599999,14403533529.599998,7.29952335357666,-0.49140048027038574,094657,1,0/0,9.986859321594238,消费电子,2023-09-28
9,001314,亿道信息,6.216931343078613,40.15,41.58,203944241,1409726725.0,5701263865.0,14.4237642288208,0.0,094742,1,0/0,9.232804298400879,消费电子,2023-09-28
10,600831,广电网络,3.2549726963043213,5.71,6.08,169038406,4057026049.53,4057026078.08,4.123140811920166,0.0,111328,1,0/0,10.488245964050293,文化传媒,2023-09-28
11,300735,光弘科技,13.180901527404785,16.83,17.84,2528269024,12715488493.289999,12961442466.72,20.082515716552734,0.0,133427,4,0/0,21.990585327148438,消费电子,2023-09-28
12,000045,深纺织Ａ,8.989898681640625,10.79,10.89,169856755,4931265750.71,5465370826.24,3.480574131011963,0.09276437759399414,144118,2,0/0,10.0,光学光电,2023-09-28
