序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,600386,北巴传媒,3.4816246032714844,5.35,5.69,648952768,4314240000.0,4314240000.0,14.599091529846191,0.3752345144748688,093205,1,4/2,8.510638236999512,汽车服务,2023-05-16
2,002846,英联股份,0.3980099558830261,10.09,11.06,357272336,2249012124.04,3213084300.32,15.342514038085938,0.0,093418,1,2/1,10.646766662597656,包装材料,2023-05-16
3,600482,中国动力,6.169528007507324,19.79,20.5,1463359808,40122887116.84,42759898996.479996,3.6462976932525635,0.15182186663150787,095026,1,0/0,11.748927116394043,船舶制造,2023-05-16
4,002451,摩恩电气,4.272151947021484,6.59,6.95,186271764,2893991910.0,2894328000.0,6.347835540771484,0.0,095230,1,0/0,10.126582145690918,电网设备,2023-05-16
5,002150,通润装备,6.270269870758057,19.66,20.35,685113904,6982243652.4800005,7009125320.96,9.781851768493652,0.0,101809,1,0/0,9.837837219238281,通用设备,2023-05-16
