序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,600229,城市传媒,4.828226566314697,11.29,11.85,1270087696,7577938319.999999,7577938319.999999,16.3299560546875,0.08865247666835785,092502,16,3/2,6.963788032531738,文化传媒,2023-05-05
2,600837,海通证券,5.357142925262451,10.03,10.47,2160699984,89000013235.4,131033925358.07999,2.3931784629821777,-0.09960159659385681,094319,1,0/0,9.978991508483887,证券,2023-05-05
3,002912,中新赛克,9.657615661621094,46.44,46.59,653484752,7533590190.839999,7979864983.92,8.786100387573242,0.0,095512,2,2/1,8.193624496459961,互联网服,2023-05-05
4,300538,同益股份,12.86307144165039,16.32,17.35,302777152,1823041593.6000001,2968911111.36,16.292194366455078,0.0,095533,1,0/0,16.25172996520996,塑料制品,2023-05-05
5,601881,中国银河,8.523725509643555,12.35,12.52,2553114496,79611863748.95,125195480716.8,3.2283215522766113,0.4065040349960327,100125,1,0/0,9.841828346252441,证券,2023-05-05
6,600629,华建集团,7.176141262054443,11.5,11.8,1798326320,10863577971.0,11165842568.0,16.5350341796875,-0.8620689511299133,103248,8,2/1,7.921715259552002,工程咨询,2023-05-05
7,601858,中国科传,6.56742525100708,48.68,50.25,2126462608,38481540000.0,38481540000.0,5.559710502624512,0.12340600043535233,104906,1,16/8,8.75656795501709,文化传媒,2023-05-05
8,002409,雅克科技,6.300812721252441,67.99,70.36,1367189744,21656310576.03,32358322963.199997,6.332295894622803,0.0735943466424942,105930,1,0/0,11.178861618041992,化学制品,2023-05-05
9,300634,彩讯股份,17.051189422607422,32.47,33.29,2085327984,13634665538.949999,14417040546.88,15.798746109008789,0.0,135627,4,0/0,20.72818946838379,互联网服,2023-05-05
