序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,002927,泰永长征,-2.9894490242004395,16.55,18.77,986331744,3651537385.0,3693905054.0,24.955955505371094,0.0,093054,1,3/2,13.305978775024414,电网设备,2023-12-01
2,603535,嘉诚国际,7.747252941131592,19.61,20.02,326469584,4276559801.21,4574001045.559999,7.597934722900391,-0.25432348251342773,093120,3,0/0,7.747252941131592,物流行业,2023-12-01
3,600889,南京化纤,2.4604570865631104,5.83,6.26,169563023,2135797238.3,2135797273.28,7.721023082733154,0.8650518655776978,093127,3,0/0,10.017574310302734,化纤行业,2023-12-01
4,002561,徐家汇,-3.733333110809326,10.83,12.38,1244633168,4457152010.67,4502713376.64,25.715700149536133,0.2777777910232544,093206,1,2/1,14.311111450195312,商业百货,2023-12-01
5,000710,贝瑞基因,7.169253349304199,14.5,14.88,1073173776,4417579787.5,5126061344.0,24.05454444885254,-1.2933968305587769,093315,3,0/0,9.460457801818848,医疗器械,2023-12-01
6,002861,瀛通通讯,5.735849380493164,14.01,14.58,417813760,1673079944.1,2179275282.12,24.4398136138916,0.4301075339317322,093533,3,0/0,11.094340324401855,消费电子,2023-12-01
7,003010,若羽臣,7.112435817718506,25.15,25.83,863250752,2304879395.6,3076582901.0,37.742713928222656,-0.11914217472076416,094421,8,0/0,14.267460823059082,互联网服,2023-12-01
8,000759,中百集团,4.086021423339844,4.84,5.12,578684272,3173617161.0,3296144079.36,17.801137924194336,0.20703934133052826,094527,1,0/0,7.956989288330078,商业百货,2023-12-01
9,603488,展鹏科技,8.257804870605469,10.75,10.92,368282352,3138897230.0,3138897316.0,11.952872276306152,-0.2782931327819824,094858,1,0/0,11.077542304992676,专用设备,2023-12-01
10,001219,青岛食品,5.211406230926514,21.4,22.37,282163328,1620447376.0,3209732500.0,17.29159164428711,0.7058823704719543,095530,1,0/0,10.176990509033203,食品饮料,2023-12-01
11,600249,两面针,4.310344696044922,6.05,6.38,400487136,3327500000.0,3327500000.0,11.781722068786621,0.3316749632358551,095648,4,0/0,10.0,美容护理,2023-12-01
12,002494,华斯股份,5.6285176277160645,5.63,5.86,237612739,1614517565.94,2124259353.6,14.48228931427002,0.35650622844696045,105336,4,0/0,9.94371509552002,纺织服装,2023-12-01
13,601279,英利汽车,3.1339030265808105,7.24,7.72,786789248,1414986939.4,10818392820.48,55.74966812133789,0.13831259310245514,112256,4,2/1,15.52706527709961,汽车零部,2023-12-01
14,000757,浩物股份,3.7950663566589355,5.47,5.8,391556784,2913948528.33,2913957045.12,13.558445930480957,0.0,112521,1,0/0,12.14421272277832,汽车服务,2023-12-01
15,603178,圣龙股份,6.060606002807617,43.4,45.01,2021878464,10260275635.4,10260275635.4,19.835247039794922,-0.06907667219638824,112817,2,0/0,12.90322494506836,汽车零部,2023-12-01
16,000762,西藏矿业,6.571552276611328,24.65,25.44,932571632,12837735233.699999,12846942649.599998,7.238529682159424,0.0,134836,5,0/0,10.549070358276367,能源金属,2023-12-01
17,603108,润达医疗,7.682000637054443,24.11,24.63,1752451440,14126386732.88,14126386925.76,12.679153442382812,0.12458471953868866,143101,1,0/0,10.763733863830566,医疗服务,2023-12-01
