序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,002886,沃特股份,2.356020927429199,19.55,21.01,579591760,3358018027.4,5145629695.75,16.48885154724121,-0.10219723731279373,092500,1,0/0,9.476439476013184,塑料制品,2023-09-14
2,000592,平潭发展,2.422145366668701,2.96,3.18,1767038816,5665253268.4,5718071452.16,29.813743591308594,0.0,093024,3,2/1,8.996539115905762,农牧饲渔,2023-09-14
3,603607,京华激光,-0.05007511377334595,19.96,21.97,1027904912,3563195328.0,3563195328.0,27.732189178466797,0.0,093026,1,3/2,14.271407127380371,造纸印刷,2023-09-14
4,603803,瑞斯康达,3.909205675125122,8.24,8.72,327611920,3501040509.6800003,3589966548.48,9.201070785522461,0.1215066909790039,093403,2,0/0,8.827238082885742,通信设备,2023-09-14
5,002963,豪尔赛,5.3304901123046875,14.82,15.48,187832076,1822771791.3600001,2228334162.6,10.139351844787598,0.0,093509,1,0/0,10.447761535644531,装修装饰,2023-09-14
6,002248,华东数控,5.4631829261779785,8.88,9.26,422207872,2730560928.0000005,2730560928.0000005,15.328794479370117,-0.2247191071510315,094451,1,0/0,11.282660484313965,通用设备,2023-09-14
7,603269,海鸥股份,6.966618537902832,14.74,15.16,307767360,2321939312.88,2321939312.88,13.301992416381836,0.0,103709,1,0/0,11.030478477478027,通用设备,2023-09-14
8,002082,万邦德,4.197901248931885,6.95,7.34,170018787,4285988932.25,4285988939.2000003,3.9634177684783936,-0.14367815852165222,104515,1,0/0,10.794602394104004,化学制药,2023-09-14
9,002693,双成药业,3.793626546859741,6.84,7.25,331984016,2807059227.84,2846699763.84,11.675806999206543,0.0,105139,1,0/0,10.31866455078125,生物制品,2023-09-14
10,601001,晋控煤业,8.74661922454834,12.06,12.2,1125366768,20184822000.0,20184822000.0,5.6768693923950195,0.0,133313,1,0/0,10.550045013427734,煤炭行业,2023-09-14
