序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,603230,内蒙新华,-10.0,18.36,890045152,1641402360.0,6490682426.88,14.779515266418457,52.91170120239258,3205656,145649,2879932249,1,8,文化传媒,2023-12-20
2,600358,国旅联合,-10.029498100280762,6.1,590956192,3080113626.0,3080113601.6,1335.7852783203125,18.698793411254883,16293710,143559,2939078792,1,0,文化传媒,2023-12-20
3,603999,读者传媒,-9.93710708618164,7.16,419225968,4124160000.0,4124160000.0,44.3498649597168,9.973830223083496,16368791,141540,58267502,2,8,文化传媒,2023-12-20
4,600155,华创云信,-9.979209899902344,8.66,947862288,19583928739.72,19583928791.68,44.08338165283203,4.687350273132324,20231777,141920,56057418,1,0,证券,2023-12-20
5,603050,科林电气,-10.016510963439941,16.35,197938090,3712989189.0000005,3712989189.0000005,15.503527641296387,5.053452014923096,25722147,133307,41443980,1,0,电网设备,2023-12-20
6,605577,龙版传媒,-10.003334045410156,26.99,759766304,5083956370.549999,11995555651.519999,25.175716400146484,14.362088203430176,29094599,143541,50468601,1,2,文化传媒,2023-12-20
7,002292,奥飞娱乐,-9.970674514770508,9.21,2022387920,8982482054.400002,13618824200.160002,125.44497680664062,21.6253662109375,38202251,143357,100648518,1,0,文化传媒,2023-12-20
8,603598,引力传媒,-9.98593521118164,25.6,1519115344,6857290240.0,6857290240.0,146.07855224609375,21.239412307739258,97981440,143639,89256960,1,0,文化传媒,2023-12-20
9,601901,方正证券,-10.0,8.19,1843867968,67420910425.049995,67420910269.439995,26.118215560913086,2.691763401031494,137842826,131911,207568759,1,2,证券,2023-12-20
