序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,605218,伟时电子,-9.976798057556152,19.4,552142240,4128969123.9999995,4128969123.9999995,47.06427764892578,12.320433616638184,1136840,144330,26232893,1,1,光学光电,2023-11-10
2,002682,龙洲股份,-10.063898086547852,5.63,643583536,3166087892.22,3166135172.96,-19.905723571777344,19.90557861328125,1876146,145648,45130180,2,1,物流行业,2023-11-10
3,605258,协和电子,-9.997102737426758,31.06,418987920,1173757400.0,2733280000.0,77.98371124267578,34.438880920410156,4668100,142146,49360983,1,4,电子元件,2023-11-10
4,605577,龙版传媒,-9.981285095214844,14.43,351989232,2718098941.35,6413333384.64,13.460007667541504,12.750508308410645,10453092,142931,34587782,2,4,文化传媒,2023-11-10
5,603178,圣龙股份,-10.005184173583984,34.72,1613774992,8208220508.32,8208220508.32,174.32662963867188,18.54954719543457,19503960,145552,1668140141,1,2,汽车零部,2023-11-10
6,603110,东方材料,-10.006064414978027,29.68,323544256,5972409405.76,5972409405.76,299.78729248046875,5.338115215301514,28700560,133736,50127144,1,7,化学制品,2023-11-10
7,002771,真视通,-9.99635124206543,24.67,897777904,4214212784.6000004,5174880347.0,-62.173301696777344,20.95677947998047,57539814,130909,159708645,1,1,互联网服,2023-11-10
8,603390,通达电气,-9.963370323181152,12.29,382320336,4322233033.36,4322233131.679999,1244.173095703125,8.813884735107422,58768518,131907,4298045611,2,3,汽车零部,2023-11-10
9,600592,龙溪股份,-9.984519958496094,11.63,683770368,4646808030.7300005,4646807995.84,20.988576889038086,14.541677474975586,59544588,132012,2237995221,2,6,通用设备,2023-11-10
10,603158,腾龙股份,-9.958159446716309,10.76,707978768,5281000532.559999,5281000597.12,28.212505340576172,13.27448558807373,75968193,131151,2481477626,2,3,汽车零部,2023-11-10
11,600679,上海凤凰,-9.981684684753418,9.83,70743977,2943439463.9,5065342536.4800005,115.22657775878906,2.40303111076355,95620843,093042,1591020888,1,1,交运设备,2023-11-10
12,300645,正元智慧,-20.01721954345703,18.58,182885213,2608019863.3199997,2608019863.3199997,63.898719787597656,7.00778341293335,104025518,093539,633174460,1,5,互联网服,2023-11-10
13,002855,捷荣技术,-10.0,36.0,1611392240,8860198320.0,8871108552.0,-124.12165832519531,17.454044342041016,139278744,140227,238226688,1,2,消费电子,2023-11-10
14,002931,锋龙股份,-9.978425025939941,16.69,54421083,3015780473.3300004,3324484371.2400002,513.0565185546875,1.8045439720153809,201074444,092500,359617761,2,0,通用设备,2023-11-10
