序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,000710,贝瑞基因,-9.982486724853516,10.28,211855278,3194633771.2,3645348364.16,-19.164304733276367,6.534853458404541,961180,145651,74455360,1,11,医疗器械,2023-08-22
2,600272,开开实业,-9.981851577758789,14.88,716389184,2380800000.0,3615840000.0,106.84200286865234,29.269981384277344,4133664,145535,85334418,1,4,医药商业,2023-08-22
3,002812,恩捷股份,-10.0,75.6,1783834160,56196002998.799995,73918054828.79999,28.463342666625977,3.0861384868621826,62147282,105615,283700566,1,2,电池,2023-08-22
