序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,603219,富佳股份,-10.0,14.94,542371280,2319961560.2999997,8387316000.0,32.2843017578125,21.921703338623047,2273882,145656,93394387,1,5,家电行业,2023-10-30
2,301151,冠龙节能,-20.01260757446289,25.38,837102016,1384921348.02,4255573480.2,54.57925796508789,56.59981918334961,4589998,145545,33768317,1,1,仪器仪表,2023-10-30
3,003039,顺控发展,-10.010537147521973,17.08,701136064,2092619908.3999999,10547220010.88,42.960060119628906,33.264305114746094,13724736,144215,1346613895,1,4,公用事业,2023-10-30
4,001319,铭科精技,-9.997093200683594,30.97,501697712,1700779490.0,4379158000.0,46.34710693359375,29.010026931762695,13847709,143342,854554186,1,3,汽车零部,2023-10-30
5,000631,顺发恒业,-10.02087688446045,4.31,1081115248,10323652852.039999,10323652869.279999,29.379295349121094,10.208805084228516,23803655,143748,408156055,1,7,房地产开,2023-10-30
6,603768,常青股份,-9.981719017028809,24.62,91460838,5022480000.0,5022480000.0,32.6480598449707,1.8210294246673584,208156905,092501,1680945272,1,0,汽车零部,2023-10-30
7,603273,天元智能,-10.0,36.0,188511209,1890058968.0,7715282400.0,127.46991729736328,9.97206974029541,309591036,093028,2191539600,1,1,专用设备,2023-10-30
