序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,001373,翔腾新材,-9.994539260864258,49.44,529579824,848969935.68,3395879742.72,83.96761322021484,59.00092697143555,4822328,144718,50792033,1,5,光学光电,2023-07-21
2,000004,国华网安,-10.019454956054688,18.5,558886064,2199961780.5,2457688148.0,-82.72608947753906,25.112699508666992,10184250,144430,433456831,1,4,软件开发,2023-07-21
3,603767,中马传动,-10.024301528930664,14.81,881987248,4553260450.0,4553260568.4800005,141.7313232421875,18.390562057495117,22157241,143802,65757584,1,2,汽车零部,2023-07-21
4,002518,科士达,-10.010649681091309,33.8,636357952,19101720643.199997,19839724444.8,21.23366928100586,3.2899281978607178,23966059,133554,66422306,1,0,电源设备,2023-07-21
5,002553,南方精工,-10.012063026428223,14.92,899210880,3495668986.56,5192160000.0,-47.900917053222656,24.841022491455078,31764575,143512,72497772,1,2,汽车零部,2023-07-21
6,000678,襄阳轴承,-10.023041725158691,7.81,538833488,3589568134.5699997,3589568095.52,-41.21556091308594,14.483726501464844,38729282,143057,56414754,1,3,汽车零部,2023-07-21
7,002654,万润科技,-9.983498573303223,10.91,1717096352,8554274473.17,9222250755.04,-195.27369689941406,19.020973205566406,41730859,141851,143773942,1,6,文化传媒,2023-07-21
8,603000,人民网,-10.012399673461914,29.03,3488954736,32098211355.68,32098211355.68,291.8088073730469,10.523022651672363,63802627,145636,100432710,1,0,文化传媒,2023-07-21
9,002896,中大力德,-9.997396469116211,34.57,342986384,5225991322.45,5225991322.45,86.66559600830078,6.488223075866699,94796816,100003,149518707,1,3,通用设备,2023-07-21
10,002703,浙江世宝,-10.0,15.3,1191381200,8461823003.1,12081562992.0,333.0033874511719,13.982585906982422,169588168,111451,1264460323,1,6,汽车零部,2023-07-21
