序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,002517,恺英网络,-9.9634370803833,9.85,1200479952,18816980369.45,21202298675.2,14.692521095275879,6.349663734436035,1881950,144736,598689987,2,12,游戏,2023-12-25
2,000892,欢瑞世纪,-9.905660629272461,3.82,278915296,2715395254.2799997,3747345433.6,-62.0405158996582,10.169217109680176,1969210,150000,77468836,2,2,文化传媒,2023-12-25
3,600818,中路股份,-9.98427677154541,11.45,152262104,2724618069.5,3680578500.7999997,292.3941650390625,5.3803391456604,2118250,141824,33821010,1,15,交运设备,2023-12-25
4,002919,名臣健康,-9.985475540161133,24.79,149121961,5451308010.04,5507595663.45,24.902851104736328,2.698856830596924,3625438,142727,109497429,2,1,美容护理,2023-12-25
5,000701,厦门信达,-10.0,6.03,232282280,2479562121.96,4143684015.36,-32.66489791870117,9.092219352722168,4478848,144703,22997214,1,1,商业百货,2023-12-25
6,601022,宁波远洋,-10.014836311340332,12.13,800317824,1587372241.42,15873722268.640001,30.608354568481445,49.57197189331055,5890328,150000,239151594,1,20,航运港口,2023-12-25
7,600421,华嵘控股,-10.035211563110352,10.22,94228262,1999032000.0000002,1999032000.0000002,-419.2965087890625,4.684764862060547,14041258,103505,388802526,2,9,通用设备,2023-12-25
8,600692,亚通股份,-10.028653144836426,6.28,217153824,1601466046.76,2209078321.92,-86.28826904296875,13.453156471252441,14433675,141358,82336451,2,13,房地产开,2023-12-25
9,002861,瀛通通讯,-9.979633331298828,13.26,232842266,1583514636.6,2062611723.12,-53.048038482666016,14.475831985473633,14996131,111915,71663292,2,11,消费电子,2023-12-25
10,001331,胜通能源,-10.00500202178955,17.99,83832447,755579999.9999999,3022319999.9999995,-42.79397964477539,10.835431098937988,17677027,095415,24761075,1,2,物流行业,2023-12-25
11,600679,上海凤凰,-9.962756156921387,9.67,144596587,2895529971.1,4982895455.5199995,113.35106658935547,4.956045150756836,18767536,110438,86702187,1,21,交运设备,2023-12-25
12,603231,索宝蛋白,-10.003732681274414,24.11,364305360,1130891556.78,4616079021.55,29.071014404296875,31.65289878845215,20887939,130749,81579192,1,11,农牧饲渔,2023-12-25
13,600099,林海股份,-9.972041130065918,9.66,110227551,2116699200.0,2116699200.0,136.57064819335938,5.15224552154541,23153145,101015,33514404,2,5,交运设备,2023-12-25
14,603608,天创时尚,-10.070671081542969,5.09,264749237,2136304028.6399999,2136304028.6399999,-84.59828186035156,12.160118103027344,28856126,104822,161483711,1,18,纺织服装,2023-12-25
15,603090,宏盛股份,-9.981651306152344,24.53,224020398,2453000000.0,2453000000.0,32.3442497253418,8.781506538391113,29319997,105617,37170309,1,0,通用设备,2023-12-25
16,002571,德力股份,-9.956709861755371,6.24,81336145,1861430613.1200001,2445772392.96,-33.57984161376953,4.30812406539917,30659060,094245,53797536,1,3,家用轻工,2023-12-25
17,603389,亚振家居,-9.942856788635254,7.88,201776474,2070485760.0,2070485760.0,-21.211219787597656,9.432966232299805,35062690,103045,61651224,1,15,装修建材,2023-12-25
18,002615,哈尔斯,-10.0401611328125,6.72,207653372,1924025255.04,3134720977.92,15.368390083312988,10.643952369689941,41425352,100803,298114144,1,5,家用轻工,2023-12-25
19,002647,仁东控股,-9.944750785827637,6.52,205376966,3650786957.9999995,3650786997.12,-21.142871856689453,5.354001045227051,55051620,131206,51665784,1,1,多元金融,2023-12-25
20,002558,巨人网络,-10.032102584838867,11.21,506917232,22123410371.260002,22123410304.0,15.295194625854492,2.2789478302001953,169838293,093227,1259990615,2,1,游戏,2023-12-25
21,603789,星光农机,-9.961685180664062,11.75,111158963,3055000000.0,3259673344.0,-128.89700317382812,3.638422966003418,181067511,093113,1162056869,2,1,专用设备,2023-12-25
22,002308,威创股份,-9.95850658416748,4.34,7938728,3909280957.54,3932971607.04,218.96160888671875,0.2030738741159439,345719665,092500,49381388,1,0,计算机设,2023-12-25
