序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,603108,润达医疗,-10.0,17.46,1793798208,10120544413.74,10120544291.52,28.919334411621094,17.074522018432617,795145,150000,109996198,1,3,医疗服务,2023-10-16
2,003005,竞业达,-9.984733581542969,29.48,249753729,1565779995.56,4374832000.0,1011.8326416015625,15.668694496154785,2160884,144854,27330908,1,3,互联网服,2023-10-16
3,605020,永和股份,-10.007173538208008,25.09,181815742,4370443634.31,9514920442.56,43.23537063598633,4.100427627563477,3936119,132554,56314742,1,22,化学制品,2023-10-16
4,605588,冠石科技,-10.006205558776855,58.01,356648736,1340005533.61,4270079031.6099997,72.94650268554688,25.98403549194336,27928972,130404,38211187,1,0,半导体,2023-10-16
5,002409,雅克科技,-10.0,58.86,745376496,18748248888.42,28013103244.8,41.030967712402344,3.8088529109954834,59004795,141051,83422278,1,1,化学制品,2023-10-16
6,001298,好上好,-10.002545356750488,35.36,160626372,1230528000.0,4922112000.0,138.2646026611328,12.599712371826172,164319794,093048,84064864,1,0,电子元件,2023-10-16
