序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,600355,精伦电子,-9.98116683959961,4.78,485665056,2352186376.0,2352186376.0,-60.767433166503906,19.84473991394043,128582,145658,43899998,1,4,通信设备,2023-12-22
2,603106,恒银科技,-10.046189308166504,7.79,606664624,4054850800.0,4054850800.0,-48.26116180419922,14.443053245544434,905268,150000,61387930,1,7,计算机设,2023-12-22
3,000609,中迪投资,-9.942195892333984,7.79,436943008,2275377376.38,2331278400.8,-24.275333404541016,18.403711318969727,3884094,144203,47208958,1,2,房地产开,2023-12-22
4,000719,中原传媒,-9.990485191345215,9.46,539555312,6311215756.780001,9679507418.240002,10.588848114013672,8.260557174682617,4116992,150000,89661299,1,11,文化传媒,2023-12-22
5,601801,皖新传媒,-9.973404884338379,6.77,363150496,13466916069.49,13466916062.72,10.268510818481445,2.592869520187378,4184719,143747,8966187,1,1,文化传媒,2023-12-22
6,002693,双成药业,-9.98781967163086,7.39,301856688,3036075719.54,3078903740.3199997,-1424.9193115234375,9.52531623840332,6581534,144127,46973796,1,2,生物制品,2023-12-22
7,002861,瀛通通讯,-10.018326759338379,14.73,431017024,1759062639.3,2291272298.76,-58.92892837524414,23.102439880371094,6618778,143921,39533902,1,3,消费电子,2023-12-22
8,603230,内蒙新华,-9.981851577758789,14.88,513814768,1330286880.0,5260422359.04,11.978168487548828,36.92764663696289,7239120,144433,52803168,1,7,文化传媒,2023-12-22
9,002995,天地在线,-9.988605499267578,23.7,427803120,2664287829.6,4205671176.0,-98.07193756103516,15.34849739074707,7784976,142715,36970104,1,0,文化传媒,2023-12-22
10,002806,华锋股份,-10.014204978942871,12.67,336823968,1887881883.65,2399838054.18,-35.12525939941406,17.031471252441406,11330350,141506,28095725,1,4,有色金属,2023-12-22
11,600099,林海股份,-9.983221054077148,10.73,234207312,2351157600.0,2351157600.0,151.6980438232422,9.409136772155762,12099148,141154,32149226,1,3,交运设备,2023-12-22
12,000892,欢瑞世纪,-9.978768348693848,4.24,500662336,3013946564.96,4159357235.2000003,-68.86172485351562,15.722238540649414,12917584,135330,33615568,1,0,文化传媒,2023-12-22
13,600373,中文传媒,-10.00758171081543,11.87,572475952,16084606344.529999,16084606261.439999,9.634665489196777,3.4287545680999756,14617513,135636,61604111,2,3,文化传媒,2023-12-22
14,600421,华嵘控股,-9.984151840209961,11.36,231688471,2222016000.0,2222016000.0,-466.0673522949219,9.96763801574707,14774816,134705,15245120,1,1,通用设备,2023-12-22
15,600692,亚通股份,-10.051546096801758,6.98,418640752,1779973408.66,2455313166.7200003,-95.90638732910156,23.108495712280273,16347858,140647,62863342,1,7,房地产开,2023-12-22
16,600610,中毅达,-10.022522926330566,7.99,775028160,3585326372.9500003,8559484117.92,-127.66153717041016,20.898029327392578,19859472,135032,64106892,1,1,化学原料,2023-12-22
17,002425,凯撒文化,-10.077519416809082,4.64,348547872,4435774566.719999,4438925934.08,-25.487777709960938,7.544896125793457,20022528,135536,44688841,1,4,游戏,2023-12-22
18,002313,日海智能,-9.965337753295898,10.39,467853760,3888385029.75,3890016000.0,-16.713539123535156,11.432097434997559,22279089,135318,39161988,2,1,通信设备,2023-12-22
19,002858,力盛体育,-10.020039558410645,17.96,507656784,2666341833.48,2944000290.48,658.66748046875,18.076583862304688,22338648,135327,32741080,1,2,文化传媒,2023-12-22
20,002591,恒大高新,-10.0,6.75,503120880,1538486804.25,2026346544.0,-191.956787109375,31.22933006286621,22375575,135636,42234075,1,1,综合行业,2023-12-22
21,002888,惠威科技,-9.992254257202148,23.24,866171712,1756956224.2399998,3476975443.2,2171.95751953125,43.48969268798828,22853286,142903,26599109,1,1,消费电子,2023-12-22
22,603103,横店影视,-10.005078315734863,17.72,448290160,11238024000.0,11238024000.0,35.733192443847656,3.9324514865875244,23701386,135358,1537424604,1,3,文化传媒,2023-12-22
23,600358,国旅联合,-9.948541641235352,5.25,412566944,2650917465.0,2650917444.0,1149.6512451171875,15.1746187210083,23734084,132752,2616676125,1,4,文化传媒,2023-12-22
24,601900,南方传媒,-9.967212677001953,13.73,641208336,12300385251.18,12300385168.800001,13.555187225341797,5.120243549346924,24408713,132333,51567134,1,7,文化传媒,2023-12-22
25,002343,慈文传媒,-9.948320388793945,6.97,271730032,3310399311.42,3310399269.6,103.28163146972656,7.899047374725342,27350983,135012,27143688,1,4,文化传媒,2023-12-22
26,603789,星光农机,-10.0,13.05,951057152,3393000000.0,3620318054.4,-143.157958984375,24.683515548706055,31664324,141552,45540585,1,1,专用设备,2023-12-22
27,002712,思美传媒,-10.043667793273926,6.18,372288000,3342799376.64,3363626866.56,-588.380615234375,10.614072799682617,35437263,132754,45826554,1,1,文化传媒,2023-12-22
28,600250,南京商旅,-9.968603134155273,11.47,502133920,3258879798.8,3562511711.84,72.21363830566406,14.650126457214355,35676288,134812,47317189,1,4,贸易行业,2023-12-22
29,002919,名臣健康,-10.0,27.54,190643432,6056031569.04,6118563314.7,27.665369033813477,3.087033271789551,43134194,131533,136485486,1,2,美容护理,2023-12-22
30,603729,龙韵股份,-10.007233619689941,37.32,906021520,3483374160.0,3483374160.0,534.39501953125,25.445493698120117,43913884,130237,585059668,1,0,文化传媒,2023-12-22
31,002862,实丰文化,-10.009225845336914,19.51,571814800,1759354889.3300002,2341200000.0,-165.1187744140625,31.223630905151367,49507600,133736,59630362,2,2,家用轻工,2023-12-22
32,603533,掌阅科技,-10.013233184814453,20.4,399143424,8953495434.0,8953495372.8,189.22732543945312,4.267244338989258,49614840,133817,44931000,1,0,文化传媒,2023-12-22
33,605577,龙版传媒,-10.003664016723633,24.56,526317776,4626230769.2,10915555642.88,22.9090633392334,10.812112808227539,49748736,132143,79420948,1,4,文化传媒,2023-12-22
34,600715,文投控股,-9.933774948120117,2.72,763424256,5045201520.0,5045201530.88,-27.578962326049805,14.028254508972168,54176766,134932,97480175,1,3,游戏,2023-12-22
35,603258,电魂网络,-10.0,23.04,147965232,5639457024.0,5639457024.0,37.00361633300781,2.5107438564300537,57990758,130541,24952320,1,1,游戏,2023-12-22
36,002354,天娱数科,-9.938838005065918,5.89,1703360448,9532205083.98,9745510503.359999,538.703125,17.073972702026367,63278037,135621,148798378,1,2,互联网服,2023-12-22
37,603721,中广天择,-10.011000633239746,32.72,846561280,4253600000.0,4253600000.0,-1093.8359375,18.668933868408203,64167846,131918,70734095,1,1,文化传媒,2023-12-22
38,002624,完美世界,-9.9849853515625,11.99,748144944,21910058893.58,23260221116.0,28.37949562072754,3.304835796356201,124155227,131718,242367068,1,6,游戏,2023-12-22
39,600571,信雅达,-9.967427253723145,13.82,1180566464,6158751751.46,6451118066.56,90.82347106933594,18.631895065307617,134385127,131609,120852081,1,5,互联网服,2023-12-22
40,603444,吉比特,-10.000373840332031,240.83,310443280,17349658353.83,17349658353.83,15.142679214477539,1.6995311975479126,141694257,130101,90359416,1,0,游戏,2023-12-22
41,600633,浙数文化,-10.032362937927246,11.12,526920816,14074923415.759998,14074923471.359999,15.25935173034668,3.608156442642212,146358115,131903,144211585,1,5,游戏,2023-12-22
42,601595,上海电影,-10.003664016723633,24.56,412629552,11007792000.0,11007792000.0,66.30077362060547,3.5409581661224365,153439091,130210,26107280,1,0,文化传媒,2023-12-22
43,002238,天威视讯,-9.98743724822998,14.33,796372496,11500672762.8,11500672877.44,108.76089477539062,6.703122615814209,161611891,130145,102112268,1,2,文化传媒,2023-12-22
44,002605,姚记科技,-10.003775596618652,23.84,361107296,7861491202.08,9824482690.56,13.213212966918945,4.347209453582764,184428910,130048,107165568,1,0,游戏,2023-12-22
45,002292,奥飞娱乐,-9.97038459777832,9.12,1934784704,8894705356.8,13485741227.519999,124.21913146972656,20.646709442138672,238028014,130036,242745370,1,0,文化传媒,2023-12-22
46,002602,世纪华通,-9.930313110351562,5.17,1217478576,35575149855.409996,38529719979.52,20.21860122680664,3.293593645095825,251445188,131800,385429691,1,5,游戏,2023-12-22
47,002174,游族网络,-9.992758750915527,12.43,796787792,11363307555.05,11384441103.199999,817.5518798828125,6.484156131744385,279183679,130015,78423356,1,0,游戏,2023-12-22
48,002517,恺英网络,-9.958847999572754,10.94,722069008,20899265506.78,23548542894.079998,16.318391799926758,3.345017910003662,378485841,130015,372917250,1,1,游戏,2023-12-22
49,002558,巨人网络,-9.971098899841309,12.46,542903536,24590338378.760002,24590338304.0,17.00072479248047,2.0688271522521973,479522427,130021,123724062,1,0,游戏,2023-12-22
50,002555,三七互娱,-10.013117790222168,20.58,434499776,33096446188.679996,45643647047.03999,15.614958763122559,1.2368398904800415,1290193765,130003,137562894,1,0,游戏,2023-12-22
