序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,600577,精达股份,-9.980430603027344,4.6,1133555664,9180751267.8,9564084627.199999,23.666614532470703,12.232301712036133,5671800,145224,7478046955,1,7,电网设备,2023-08-03
2,600595,中孚实业,-9.972298622131348,3.25,948965328,12884885370.5,13056576364.0,16.370275497436523,7.290012359619141,9148451,143050,5801045037,1,9,有色金属,2023-08-03
3,600531,豫光金铅,-10.049627304077148,7.25,1084887216,7904259096.5,7904259140.0,10.829803466796875,13.520227432250977,17658941,142320,102953487,1,5,有色金属,2023-08-03
4,603132,金徽股份,-10.019776344299316,13.65,319765104,2178540000.0,13349700000.0,80.96002197265625,14.592767715454102,19644329,140208,1601912428,1,6,有色金属,2023-08-03
5,000890,法尔胜,-9.949409484863281,5.34,475789344,2240082185.64,2240151189.12,-45.291805267333984,20.937721252441406,68442416,110142,1323781194,1,1,通用设备,2023-08-03
