序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,600159,大龙地产,-10.071942329406738,3.75,627512800,3112512120.0,3112512120.0,611.009033203125,19.82390022277832,55953,144757,538729360,2,2,房地产开,2023-11-28
2,605577,龙版传媒,-10.00552749633789,16.28,543045104,3066573164.6000004,7235555613.440001,15.185649871826172,17.650541305541992,3340867,131713,1640307680,2,10,文化传媒,2023-11-28
3,600053,九鼎投资,-10.011000633239746,16.36,592038208,7092727488.0,7092727488.0,285.9346618652344,8.251297950744629,6227941,145233,1290257335,1,22,多元金融,2023-11-28
4,600775,南京熊猫,-9.981285095214844,14.43,2239784208,9694629973.47,13186689959.039999,-311.8404541015625,22.41310691833496,10791461,144929,447540830,1,10,通信设备,2023-11-28
5,000518,四环生物,-10.065646171569824,4.11,1037355584,4231391698.2300005,4231476080.6400003,-73.2638931274414,23.786270141601562,13906813,142954,168281030,1,4,生物制品,2023-11-28
6,603266,天龙股份,-9.997268676757812,32.95,995773824,6553318412.500001,6553318412.500001,56.5653076171875,15.109833717346191,49484375,133000,1484599607,2,18,塑料制品,2023-11-28
7,002888,惠威科技,-9.987869262695312,22.26,680426720,1682867708.7600002,3330355996.8,2080.368896484375,38.32644271850586,52278500,140042,65685697,1,2,消费电子,2023-11-28
8,603598,引力传媒,-10.012674331665039,14.2,714196192,3803653180.0,3803653180.0,81.02794647216797,18.453205108642578,58117277,131440,1777899640,3,2,文化传媒,2023-11-28
9,601929,吉视传媒,-9.960159301757812,2.26,263961119,7460940058.86,7460940061.119999,-24.151445388793945,3.4872100353240967,270968614,093032,161578243,1,0,文化传媒,2023-11-28
10,002712,思美传媒,-10.048425674438477,7.43,60410358,4018931936.64,4043972106.56,-707.3896484375,1.50314462184906,357406813,092500,756790823,1,0,文化传媒,2023-11-28
11,600520,文一科技,-10.00482177734375,37.33,155591440,5914191900.0,5914191900.0,-49.8309440612793,2.630814790725708,785973817,092500,4077906802,1,0,专用设备,2023-11-28
