序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
56,600560,金自天正,2.091402053833008,13.18,14.2,159198087,2947647690.0,2947647690.0,5.333488464355469,-0.1515151411294937,1,1.4247759580612183,0/0,1,专用设备
53,002730,电光科技,2.4017467498779297,9.38,10.08,71381479,3245760274.4,3396309349.44,2.212958812713623,0.10672358423471451,1,1.9450169801712036,0/0,1,专用设备
95,301312,智立方,-1.109989881515503,98.0,118.92,304859536,1504646626.0,6132511014.0,20.347923278808594,0.0,1,1.2372987270355225,0/0,1,专用设备
49,300509,新美星,2.6785714626312256,6.9,8.06,41134999,1689696336.3000002,2045160000.0,2.458683490753174,0.0,1,1.4822276830673218,0/0,1,专用设备
38,002527,新时达,4.800000190734863,7.86,8.25,447456880,4124981314.38,5215162567.68,10.76897144317627,0.0,1,3.9428491592407227,0/0,1,专用设备
68,603015,弘讯科技,1.1655011177062988,8.68,9.44,115349986,3508620920.0,3508620989.44,3.2913565635681152,0.11534024775028229,1,1.6584110260009766,0/0,1,专用设备
70,002367,康力电梯,0.9456264972686768,8.54,9.31,75317335,4482725831.919999,6815549227.199999,1.6876119375228882,0.1172332912683487,1,1.54893159866333,0/0,1,专用设备
29,301199,迈赫股份,6.8135457038879395,26.18,29.41,197410334,872841200.0,3490841200.0,22.716217041015625,0.0,1,5.822351932525635,0/0,1,专用设备
99,688698,伟创电气,-1.6409913301467896,29.37,35.83,114444865,1321650000.0,5286600000.0,8.475884437561035,0.0,1,1.2757004499435425,0/0,1,专用设备
100,600262,北方股份,-1.9792648553848267,20.8,23.34,79853831,3536000000.0,3536000000.0,2.2330000400543213,-0.4784688949584961,1,1.051953911781311,0/0,1,专用设备
23,688090,瑞松科技,8.135372161865234,33.23,36.88,197867840,2238392339.24,2238392339.24,9.02000904083252,0.0,1,4.8507795333862305,0/0,1,专用设备
75,300669,沪宁股份,0.581818163394928,13.83,16.5,56028208,2481514396.77,2665117424.58,2.2769927978515625,0.0,1,0.8348527550697327,0/0,1,专用设备
73,301043,绿岛风,0.7246376872062683,29.19,34.78,32889286,525420000.0,1984920000.0,6.254794597625732,0.0,1,1.1181433200836182,0/0,1,专用设备
5,300549,优德精密,19.970081329345703,16.04,16.04,213701825,1620916987.0,2138773600.0,13.591668128967285,0.0,1,18.920005798339844,1/1,1,专用设备
8,300461,田中精机,14.166666984558105,24.66,25.92,238777049,1966806017.1,3946154652.72,12.392268180847168,0.0,1,3.362846851348877,0/0,1,专用设备
77,603567,珍宝岛,0.4062681496143341,17.3,18.95,248041931,16295970141.6,16295970280.0,1.5269813537597656,0.0,1,1.9118120670318604,0/0,1,中药
46,600129,太极集团,3.0222692489624023,58.29,62.24,611961808,32461161467.76,32461161934.079998,1.9315022230148315,-0.017152657732367516,1,1.077152132987976,2/1,1,中药
7,301001,凯淳股份,14.995455741882324,37.96,39.61,503353984,1305824000.0,3036800000.0,41.92312240600586,0.0,1,1.2000951766967773,0/0,1,互联网服
89,300150,世纪瑞尔,-0.4273504614830017,4.66,5.62,183648671,2398660146.42,2726594183.6800003,7.619047164916992,0.0,1,1.5026673078536987,0/0,1,互联网服
15,603918,金桥信息,9.988962173461914,19.93,19.93,1189418992,7286117779.34,7329437667.2,16.87904930114746,0.0,0,1.213438868522644,2/2,2,互联网服
24,300462,华铭智能,8.0,12.15,13.5,131202752,1659436065.0,2287420053.75,8.047597885131836,0.0,1,4.4164299964904785,0/0,1,交运设备
106,300851,交大思诺,-3.77917742729187,25.97,32.39,149997283,898863252.0,2257660398.0,16.0985164642334,0.0,1,6.222011089324951,2/1,1,交运设备
