序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
1,301110,青木股份,20.008459091186523,56.74,56.74,328442704,916674474.74,3782666685.58,38.123104095458984,0.0,1,2.7107110023498535,1/1,1,互联网服
2,688256,寒武纪-U,20.001953125,122.93,122.93,2596614416,29771881339.850002,49272145662.08,9.188587188720703,0.0,1,2.3033392429351807,1/1,1,半导体
3,300634,彩讯股份,17.11501121520996,30.04,30.78,1078736560,12614270181.4,13338093564.16,8.986921310424805,0.0,1,1.011423110961914,0/0,1,互联网服
4,301318,维海德,16.527423858642578,64.16,66.07,497764400,1113817600.0,4453473920.0,46.203285217285156,0.0,1,1.7164121866226196,0/0,1,消费电子
5,301171,易点天下,16.502866744995117,28.45,29.3,870238144,2148024645.25,13425153968.8,42.114097595214844,0.0,1,1.8585853576660156,0/0,1,互联网服
6,300628,亿联网络,15.854544639587402,79.65,82.5,1494635696,41057130382.200005,71814282782.40001,3.678750991821289,0.0,1,5.508612632751465,0/0,1,通信设备
7,300459,汤姆猫,15.604026794433594,6.89,7.15,5461172736,20675396303.12,24223937404.16,27.83744239807129,0.0,1,1.5454360246658325,0/0,1,游戏
8,300058,蓝色光标,15.577890396118164,9.2,9.55,4656121344,21334915184.0,22917548128.0,22.943021774291992,0.0,1,1.4523104429244995,0/0,1,文化传媒
9,300884,狄耐克,15.5668363571167,13.66,14.18,347883120,1980506547.08,3442320000.0,18.931949615478516,0.0,1,2.202068328857422,0/0,1,计算机设
10,688111,金山办公,15.449201583862305,357.5,371.59,3521420176,164902233925.0,164902234640.0,2.2107157707214355,0.0,1,2.6476523876190186,0/0,1,软件开发
11,300280,紫天科技,15.172785758972168,21.33,22.22,436939856,3422914024.7699995,3456862319.5199995,13.407276153564453,0.0,1,8.380349159240723,0/0,1,文化传媒
12,300785,值得买,14.950760841369629,51.36,53.62,585428656,3865574345.2799997,6830188232.16,15.890342712402344,0.0,1,1.1230323314666748,0/0,1,互联网服
13,688369,致远互联,14.859533309936523,96.08,100.38,237020536,7423878982.64,7423878982.64,3.2441091537475586,0.0,1,4.43981409072876,0/0,1,软件开发
14,300494,盛天网络,14.271047592163086,22.26,23.38,782912560,4704725014.5,6047276256.0,17.191116333007812,0.0,1,2.1406593322753906,0/0,1,游戏
15,688619,罗普特,13.946922302246094,20.18,21.25,332250480,1806553354.6,3786685685.5,19.55328369140625,0.0,1,1.8523048162460327,0/0,1,互联网服
16,688088,虹软科技,13.340298652648926,32.54,34.45,874231424,13211240000.0,13211240000.0,6.787187576293945,0.0,1,3.2877492904663086,0/0,1,互联网服
