序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业,date
36,301169,零点有数,9.36161994934082,56.19,61.66,492609232,1580182372.32,4059152901.06,32.464813232421875,0.0,1,1.8441156148910522,0/0,1,专业服务,2023-04-11
1,688420,美腾科技,20.00440216064453,54.53,54.53,384101680,1151201424.73,4822087900.0,35.68491744995117,0.0,1,3.034435272216797,1/1,1,专用设备,2023-04-11
58,603169,兰石重装,7.033248424530029,8.37,8.6,731090320,10933662349.259998,10933662299.039999,6.836449146270752,0.0,1,2.12974214553833,0/0,1,专用设备,2023-04-11
104,000852,石化机械,3.5211269855499268,7.35,7.81,296179488,6640134648.0,6916377165.599999,4.430440902709961,0.0,1,2.1018927097320557,0/0,1,专用设备,2023-04-11
81,688400,凌云光,5.0978498458862305,43.5,49.67,1304392960,3801778417.5,20162250000.0,36.563446044921875,0.0,1,1.3954521417617798,0/0,1,专用设备,2023-04-11
130,603076,乐惠国际,1.087420105934143,47.41,51.59,102902404,5722450719.04,5722450719.04,1.7984414100646973,-0.23148147761821747,1,0.7881467938423157,0/0,1,专用设备,2023-04-11
135,300181,佐力药业,0.46265697479248047,15.2,18.16,273823664,9251097689.6,10661087385.6,2.9697482585906982,0.0,1,0.7900086641311646,0/0,1,中药,2023-04-11
123,603567,珍宝岛,1.8995099067687988,16.63,17.95,234192431,15664854534.96,15664854668.0,1.5136224031448364,0.0,1,0.8156074285507202,0/0,1,中药,2023-04-11
6,688004,博汇科技,17.5,39.01,39.84,237123236,1554287913.1999998,2215768000.0,16.1072940826416,0.0,1,2.1260933876037598,0/0,1,互联网服,2023-04-11
10,300766,每日互动,15.565611839294434,25.54,26.52,1387196560,8751296553.86,10218554000.0,16.681968688964844,0.0,1,1.4075775146484375,0/0,1,互联网服,2023-04-11
65,002401,中远海科,6.4605631828308105,26.86,27.75,1487223184,9882352446.26,9989356481.6,15.91757869720459,0.0,1,1.2224360704421997,2/1,1,互联网服,2023-04-11
64,002777,久远银海,6.461538314819336,41.52,42.9,2034572464,16558096447.68,16949752780.800001,13.107048034667969,0.12056908756494522,0,1.806593418121338,6/3,2,互联网服,2023-04-11
57,300226,上海钢联,7.045636177062988,53.48,59.95,1171275440,13794167528.4,14342512247.56,8.660270690917969,0.0,1,1.6436011791229248,0/0,1,互联网服,2023-04-11
15,300846,首都在线,12.386545181274414,21.05,22.48,2089230480,6755616516.05,9826620613.6,31.31631851196289,0.0,1,1.0721793174743652,0/0,1,互联网服,2023-04-11
