序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,688719,N爱科,65.57,-6.3,-4.41,93741,636635647.0,14.86,75.39,64.99,69.9,69.98,,51.66,49.77,3.1,2023-09-28
2,301558,N三态,18.95,158.53,11.62,862049,1735256376.51,35.74,21.5,18.88,20.2,7.33,,77.5,91.73,11.04,2023-09-28
3,603276,C恒兴,26.23,-3.78,-1.03,103657,273997818.0,3.34,27.12,26.21,26.88,27.26,0.55,27.27,47.43,2.43,2023-09-28
4,301520,C万邦医,75.02,-14.75,-12.98,93271,726279029.29,9.98,83.38,74.6,82.78,88.0,0.9,59.01,46.46,3.55,2023-09-28
5,301500,飞南资源,25.3,-3.55,-0.93,117475,300290379.84,3.24,26.08,25.23,25.81,26.23,0.63,31.27,41.8,2.34,2023-09-28
6,688716,中研股份,27.66,-0.72,-0.2,31262,87217654.0,1.97,28.15,27.6,27.99,27.86,0.52,11.44,71.26,2.93,2023-09-28
7,301548,崇德科技,65.91,0.89,0.58,41708,277671476.94,3.67,68.0,65.6,66.09,65.33,0.73,29.33,39.3,2.86,2023-09-28
8,301550,斯菱股份,46.57,2.26,1.03,115670,544446539.23,7.16,48.88,45.62,46.27,45.54,1.06,44.35,38.91,3.39,2023-09-28
9,688702,盛科通信-U,58.6,2.13,1.22,58340,343606753.0,7.13,61.7,57.61,58.3,57.38,0.74,15.68,338.79,9.98,2023-09-28
10,603075,热威股份,28.13,0.18,0.05,48673,137196506.0,1.35,28.4,28.02,28.15,28.08,0.56,12.54,47.56,6.06,2023-09-28
11,301529,福赛科技,46.46,3.54,1.59,48129,222186383.15,4.03,46.81,45.0,45.15,44.87,1.05,25.09,49.11,3.32,2023-09-28
12,688549,中巨芯-U,9.77,-0.1,-0.01,318049,310521413.0,3.07,9.91,9.61,9.83,9.78,0.71,12.16,379.49,4.77,2023-09-28
13,301251,威尔高,49.07,0.8,0.39,120645,589663155.23,5.26,49.97,47.41,48.73,48.68,1.1,37.8,64.07,4.74,2023-09-28
14,301507,民生健康,21.92,-0.99,-0.22,83233,183384846.25,1.58,22.23,21.88,22.11,22.14,0.87,9.84,55.78,5.36,2023-09-28
15,603270,金帝股份,36.32,-0.52,-0.19,115328,422234125.0,2.99,37.28,36.19,37.0,36.51,0.44,23.52,44.22,3.81,2023-09-28
16,301525,儒竞科技,107.93,-3.33,-3.72,21102,230178117.17,4.29,112.3,107.51,111.64,111.65,0.8,9.43,43.91,3.41,2023-09-28
