序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率
1,688450,N光格,45.82,-13.69,-7.27,72954,343721128.0,7.74,49.89,45.78,48.0,53.09,,49.31,-69.02,2.91
2,301468,N博盈,40.1,-15.72,-7.48,126461,506432327.82,9.75,42.65,38.01,39.99,47.58,,40.4,43.51,2.4
3,301499,C维科精,31.9,-9.58,-3.38,171439,538894118.96,10.88,33.74,29.9,31.6,35.28,0.71,52.3,112.69,3.72
4,688602,C康鹏,11.28,2.92,0.32,221596,246776454.0,4.01,11.35,10.91,11.09,10.96,0.42,26.15,39.31,2.15
5,301512,C智信,72.18,-18.06,-15.91,73242,553143155.87,10.17,80.96,72.0,80.96,88.09,0.72,54.93,-80.21,4.02
6,688610,C埃科,69.2,6.76,4.38,44771,298521972.0,12.5,70.3,62.2,63.02,64.82,0.74,33.11,402.87,3.17
7,688563,C航材,60.83,1.33,0.8,52650,318400992.0,3.3,61.37,59.39,59.72,60.03,0.34,7.73,56.58,2.85
8,301505,C苏州规,43.6,2.66,1.13,143606,645796648.25,20.49,49.5,40.8,44.39,42.47,1.05,72.84,246.05,3.98
9,688627,C精智达,83.2,6.67,5.2,73728,606743660.0,12.53,86.77,77.0,77.0,78.0,0.66,36.93,-571.51,4.93
10,301503,智迪科技,33.22,-1.72,-0.58,37714,123931544.8,3.82,33.58,32.29,32.97,33.8,0.44,18.86,67.22,2.84
11,301329,信音电子,22.12,-5.23,-1.22,101478,224003990.03,5.57,22.85,21.55,22.8,23.34,0.57,24.88,51.93,2.51
12,301456,盘古智能,36.52,-3.13,-1.18,52711,192892783.18,3.9,37.55,36.08,37.33,37.7,0.51,15.24,46.66,2.7
13,301272,英华特,68.0,0.71,0.48,23772,160060892.79,7.61,69.54,64.4,65.94,67.52,0.58,17.13,132.89,4.19
14,688638,誉辰智能,68.95,-0.99,-0.69,5477,37919622.0,2.07,70.29,68.85,69.82,69.64,0.51,6.12,-189.63,2.61
15,301393,昊帆生物,91.8,2.0,1.8,25808,236889051.58,6.19,94.0,88.43,88.43,90.0,0.65,11.03,68.3,4.56
16,301381,赛维时代,45.95,9.93,4.15,242861,1032858230.28,25.36,47.88,37.28,38.71,41.8,1.4,77.32,88.44,8.24
17,301370,国科恒泰,17.54,-4.05,-0.74,100926,177410017.12,3.83,18.05,17.35,18.03,18.28,0.67,15.23,78.35,3.55
18,688603,天承科技,94.5,0.54,0.51,7485,70725875.0,5.3,96.0,91.02,92.08,93.99,0.44,6.23,120.72,5.25
19,301261,恒工精密,42.46,1.55,0.65,37815,158399104.09,7.46,43.2,40.08,40.68,41.81,0.77,19.11,30.92,2.64
20,301486,致尚科技,52.13,4.14,2.07,51639,267416923.51,5.45,52.88,50.15,50.15,50.06,0.81,16.92,100.32,2.73
21,301292,海科新源,23.62,-3.87,-0.95,53610,127566694.37,4.31,24.49,23.43,24.49,24.57,0.88,12.5,42.16,1.68
22,301202,朗威股份,35.14,1.01,0.35,56882,196951345.07,7.16,35.49,33.0,33.98,34.79,0.55,17.6,158.12,4.05
23,301488,豪恩汽电,87.07,1.16,1.0,51908,446029508.83,7.67,88.6,82.0,84.96,86.07,0.81,26.09,131.83,6.67
24,301395,仁信新材,22.72,-0.79,-0.18,11816,26890951.75,0.7,22.87,22.71,22.81,22.9,0.66,3.44,53.33,2.04
25,688582,芯动联科,38.98,-2.6,-1.04,25974,102242826.0,3.5,40.29,38.89,39.99,40.02,0.7,5.64,-669.81,7.94
26,301291,明阳电气,31.34,0.13,0.04,21325,66946490.53,1.25,31.59,31.2,31.3,31.3,0.3,3.14,55.13,2.59
27,301210,金杨股份,44.46,-6.36,-3.02,21691,96574450.8,3.66,45.39,43.65,43.65,47.48,1.4,13.2,67.32,2.07
28,688429,时创能源,24.99,0.0,0.0,9608,24044125.0,2.32,25.29,24.71,25.0,24.99,0.39,3.23,38.89,4.64
29,688631,莱斯信息,34.38,0.79,0.27,8452,29161184.0,2.84,34.98,34.01,34.25,34.11,0.49,2.52,-44.05,3.3
30,301397,溯联股份,45.87,2.34,1.05,34780,160655721.08,6.31,47.36,44.53,44.53,44.82,1.11,14.66,37.51,2.5
31,301295,美硕科技,37.27,-2.18,-0.83,24576,91314840.94,4.57,38.2,36.46,38.18,38.1,0.81,14.4,55.33,2.87
32,688629,华丰科技,20.55,-0.24,-0.05,64806,133615496.0,4.37,21.05,20.15,20.4,20.6,0.47,11.84,203.08,6.58
33,688620,安凯微,14.33,-1.17,-0.17,66977,95929255.0,2.97,14.57,14.14,14.4,14.5,0.49,7.95,363.03,3.72
34,301170,锡南科技,35.08,-2.5,-0.9,26377,94245777.73,3.34,36.25,35.05,35.92,35.98,0.59,11.12,42.11,2.26
35,300804,广康生化,34.35,-2.19,-0.77,14662,50610200.16,1.79,34.91,34.28,34.68,35.12,0.7,8.63,29.24,1.92
36,688543,国科军工,50.01,-6.47,-3.46,49096,248984308.0,6.88,53.48,49.8,53.32,53.47,1.5,14.81,194.14,3.44
37,301376,致欧科技,24.16,0.83,0.2,19652,47796352.96,3.59,24.8,23.94,23.94,23.96,0.62,5.87,27.75,3.48
38,301315,威士顿,54.65,1.56,0.84,72137,385000907.87,7.94,55.27,51.0,51.8,53.81,0.91,34.57,135.77,5.01
39,688443,智翔金泰-U,29.72,3.27,0.94,34678,103151612.0,6.43,30.42,28.57,28.89,28.78,1.41,4.19,-13.56,3.4
40,301262,海看股份,29.65,-4.91,-1.53,79357,237443000.89,4.75,30.86,29.38,30.22,31.18,0.79,20.27,28.82,3.55
41,688334,西高院,17.04,-0.81,-0.14,23589,40321079.0,1.4,17.24,17.0,17.18,17.18,0.52,3.3,38.72,1.83
42,301448,开创电气,30.08,-4.11,-1.29,44670,132710087.83,4.78,30.5,29.0,30.21,31.37,0.93,22.33,50.53,3.77
43,301225,恒勃股份,34.4,-0.03,-0.01,12447,42918380.04,1.54,34.76,34.23,34.47,34.41,0.31,5.27,31.16,2.64
44,301232,飞沃科技,56.97,-1.52,-0.88,6275,35800942.75,1.56,57.5,56.6,57.4,57.85,0.65,4.91,36.87,1.98
45,301287,康力源,41.38,2.05,0.83,23336,95334229.31,5.08,41.79,39.73,40.1,40.55,0.95,14.0,32.59,2.74
46,301355,南王科技,17.58,-2.98,-0.54,47222,83484430.1,3.2,18.1,17.52,17.78,18.12,0.71,10.21,49.36,2.26
47,688472,阿特斯,15.02,-3.1,-0.48,200110,304655930.0,3.87,15.61,15.01,15.46,15.5,1.02,4.74,15.08,3.03
