序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率
156,301373,凌玮科技,32.24,-1.44,-0.47,8755,28291034.33,3.3,32.88,31.8,32.65,32.71,0.99,3.47,34.93,2.44
157,301260,格力博,22.92,-0.43,-0.1,22418,51240715.09,1.52,23.05,22.7,22.92,23.02,0.84,1.96,31.84,2.21
158,601059,信达证券,16.93,-1.46,-0.25,1202470,2052592651.0,7.1,17.68,16.46,16.87,17.18,1.33,37.08,63.58,3.31
159,603281,江瀚新材,31.54,-1.07,-0.34,10090,31982320.0,1.88,32.08,31.48,31.88,31.88,0.92,1.08,19.07,2.75
160,603173,福斯达,28.32,-1.67,-0.48,10214,28865752.0,2.57,28.7,27.96,28.7,28.8,1.01,2.55,32.14,3.5
161,688435,英方软件,69.89,-1.02,-0.72,5037,35286144.0,2.79,71.2,69.23,71.2,70.61,0.62,2.74,-393.94,5.2
162,301317,鑫磊股份,23.95,-1.07,-0.26,10310,24479833.34,3.14,24.26,23.5,24.26,24.21,1.28,2.62,52.82,3.51
163,688485,九州一轨,15.19,0.53,0.08,17802,27182644.0,3.77,15.55,14.98,15.1,15.11,1.52,5.32,-38.9,1.74
164,688506,百利天恒-U,86.6,-2.7,-2.4,7273,63842125.0,6.39,90.99,85.3,87.67,89.0,0.65,2.09,-52.04,45.46
165,688525,佰维存储,77.86,0.54,0.42,45263,352241989.0,5.23,79.55,75.5,77.44,77.44,0.9,12.37,-66.47,14.6
166,301297,富乐德,20.38,0.39,0.08,33589,67745592.12,2.76,20.44,19.88,20.29,20.3,0.61,4.27,98.14,5.09
167,301105,鸿铭股份,37.87,0.13,0.05,2550,9630444.0,1.24,37.98,37.51,37.86,37.82,0.58,2.04,353.75,2.06
168,688496,清越科技,15.97,2.77,0.43,43538,69358283.0,8.49,16.49,15.17,15.65,15.54,1.53,4.84,427.55,5.75
169,688475,萤石网络,40.32,1.15,0.46,14595,58313960.0,3.94,40.47,38.9,39.81,39.86,0.83,1.56,62.19,4.74
170,001301,尚太科技,52.68,-1.16,-0.62,11873,62751209.8,1.2,53.24,52.6,53.24,53.3,1.09,1.83,14.84,2.65
171,301301,川宁生物,8.89,-1.0,-0.09,46243,41267598.04,1.22,8.99,8.88,8.98,8.98,0.67,2.08,28.16,3.2
172,301255,通力科技,45.42,0.66,0.3,51258,229059919.51,4.61,45.8,43.72,45.12,45.12,0.59,18.84,71.05,5.05
173,688410,山外山,47.4,0.38,0.18,5190,24499816.0,3.11,47.9,46.43,46.99,47.22,0.84,1.43,22.99,4.32
174,301280,珠城科技,35.27,-0.65,-0.23,6062,21315016.59,1.66,35.59,35.0,35.59,35.5,0.65,2.59,24.84,2.12
175,688147,微导纳米,46.99,-0.32,-0.15,14711,69452419.0,5.52,48.8,46.2,47.14,47.14,1.16,3.49,-4902.16,10.88
176,688141,杰华特,33.8,0.81,0.27,15357,52217951.0,3.64,34.52,33.3,33.5,33.53,0.77,2.94,-66.09,4.89
