序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,688631,N莱斯,33.46,32.36,8.18,235617,833512118.0,20.93,38.3,33.01,35.0,25.28,,70.24,-42.87,3.22,2023-06-28
2,301397,N溯联,45.14,-15.26,-8.13,96340,442332003.57,5.89,48.0,44.86,48.0,53.27,,40.61,36.91,2.46,2023-06-28
3,301295,N美硕,44.92,20.11,7.52,120177,552701097.1,19.68,49.0,41.64,42.0,37.4,,70.4,66.69,3.46,2023-06-28
4,688629,C华丰,20.88,-9.65,-2.23,409458,836962788.0,12.42,21.89,19.02,20.96,23.11,0.8,74.79,206.34,6.69,2023-06-28
5,688620,C安凯微,12.85,-10.08,-1.44,359148,473800020.0,9.52,14.05,12.69,14.05,14.29,0.63,42.62,325.54,3.34,2023-06-28
6,301170,C锡南,36.74,-10.39,-4.26,118047,432927519.11,9.95,39.09,35.01,36.0,41.0,0.73,49.79,44.11,2.37,2023-06-28
7,300804,C广康,34.96,-11.16,-4.39,60254,216569344.51,6.56,37.49,34.91,37.23,39.35,0.8,35.48,29.76,1.95,2023-06-28
8,688543,C国科,48.95,-5.25,-2.71,101282,500117064.0,9.06,52.35,47.67,50.55,51.66,0.61,30.54,190.02,3.37,2023-06-28
9,301376,C致欧,21.24,-7.53,-1.73,103868,226611856.4,8.4,23.16,21.23,22.46,22.97,0.67,31.05,24.4,3.06,2023-06-28
10,301315,C威士顿,62.49,0.3,0.19,106426,666632699.48,11.59,66.1,58.88,60.01,62.3,0.8,51.01,155.24,5.72,2023-06-28
11,688443,C智翔-U,29.64,-4.05,-1.25,70909,209576700.0,4.76,30.48,29.01,30.33,30.89,0.41,8.57,-13.52,3.39,2023-06-28
12,301262,C海看,27.48,-6.18,-1.81,101750,282491664.99,6.66,28.87,26.92,28.87,29.29,0.59,25.99,26.71,3.29,2023-06-28
13,688334,西高院,17.48,-3.74,-0.68,112112,196564655.0,4.85,18.13,17.25,18.13,18.16,0.42,15.7,39.72,1.88,2023-06-28
14,301448,开创电气,28.84,-1.7,-0.5,50347,143619935.34,5.9,29.48,27.75,29.3,29.34,0.49,25.17,48.45,3.62,2023-06-28
15,301225,恒勃股份,35.39,-1.01,-0.36,48451,169525594.3,3.08,35.47,34.37,34.88,35.75,0.58,20.5,32.06,2.72,2023-06-28
16,301232,飞沃科技,60.6,1.07,0.64,20292,119423817.09,6.65,61.2,57.21,59.71,59.96,0.76,15.89,39.22,2.1,2023-06-28
17,301287,康力源,39.77,-1.85,-0.75,17589,70769541.75,3.87,41.07,39.5,40.66,40.52,0.5,10.55,31.33,2.63,2023-06-28
18,301355,南王科技,17.19,-2.72,-0.48,45322,77968635.19,3.96,17.67,16.97,17.67,17.67,0.69,9.8,48.27,2.21,2023-06-28
19,688472,阿特斯,19.37,0.52,0.1,539827,1038569050.0,4.41,19.58,18.73,19.14,19.27,0.59,12.78,19.02,3.82,2023-06-28
20,301383,天键股份,36.12,-2.8,-1.04,28750,103826703.43,4.25,37.15,35.57,37.0,37.16,0.73,10.43,54.96,2.41,2023-06-28
21,301320,豪江智能,22.88,-5.84,-1.42,112206,256628861.9,8.19,24.11,22.12,24.11,24.3,0.62,26.12,80.41,4.01,2023-06-28
22,688623,双元科技,89.3,-3.06,-2.82,9786,87903959.0,4.39,92.3,88.26,92.3,92.12,0.84,7.28,50.92,2.55,2023-06-28
23,688576,西山科技,128.71,-3.22,-4.28,8490,109961794.0,3.14,132.69,128.51,131.68,132.99,0.55,7.15,71.21,3.31,2023-06-28
24,301323,新莱福,38.82,0.73,0.28,26775,103936471.95,2.46,39.24,38.29,38.3,38.54,0.76,11.45,36.02,2.16,2023-06-28
25,688570,天玛智控,25.68,-2.43,-0.64,43041,110622151.0,3.99,26.37,25.32,26.37,26.32,0.97,7.93,29.75,2.9,2023-06-28
26,688523,航天环宇,25.51,-2.45,-0.64,37919,95833137.0,5.77,26.06,24.55,26.05,26.15,0.84,11.21,465.63,6.73,2023-06-28
27,301310,鑫宏业,69.48,-1.66,-1.17,33301,227805843.05,6.79,70.9,66.1,70.27,70.65,0.6,15.07,47.09,3.11,2023-06-28
28,688593,新相微,16.65,-3.59,-0.62,74329,122614481.0,7.3,17.27,16.01,17.26,17.27,0.88,10.87,95.3,4.83,2023-06-28
29,001373,翔腾新材,39.4,-2.52,-1.02,23810,93258568.57,5.05,40.42,38.38,40.38,40.42,0.81,13.87,66.92,3.09,2023-06-28
30,301353,普莱得,38.0,12.06,4.09,67431,250158661.72,17.25,39.5,33.65,33.75,33.91,3.76,35.49,47.11,2.4,2023-06-28
31,301337,亚华电子,33.6,-3.81,-1.33,28694,96009502.78,5.75,34.91,32.9,34.75,34.93,0.81,11.61,212.94,3.12,2023-06-28
32,301252,同星科技,46.9,-1.94,-0.93,20619,95731745.8,5.08,48.0,45.57,47.83,47.83,0.46,10.31,36.47,3.56,2023-06-28
33,688562,航天软件,26.84,-4.82,-1.36,73622,197620316.0,7.13,28.11,26.1,28.11,28.2,0.89,11.19,-4409.37,6.09,2023-06-28
34,001282,三联锻造,33.9,4.95,1.6,75709,248587149.95,8.7,34.31,31.5,32.44,32.3,0.7,27.23,50.28,2.88,2023-06-28
35,301399,英特科技,58.1,-3.65,-2.2,38618,220071946.47,9.2,60.3,54.75,60.3,60.3,0.65,18.51,98.63,3.99,2023-06-28
36,301305,朗坤环境,20.42,-2.76,-0.58,29635,60702264.85,3.76,21.0,20.21,21.0,21.0,0.86,5.3,29.34,1.5,2023-06-28
37,688458,美芯晟,88.06,3.5,2.98,8299,72501051.0,8.03,89.85,83.02,85.14,85.08,1.15,4.6,-390.3,3.44,2023-06-28
38,001324,长青科技,20.58,-2.7,-0.57,29198,59879081.4,4.16,21.08,20.2,21.08,21.15,0.64,8.64,54.66,2.69,2023-06-28
39,688581,安杰思,117.7,-3.38,-4.12,6256,73766983.0,5.11,121.81,115.58,121.81,121.82,1.31,4.84,49.75,3.3,2023-06-28
40,688361,中科飞测-U,80.6,3.67,2.85,44011,353664279.0,7.11,82.99,77.46,77.5,77.75,0.94,7.34,205.57,11.21,2023-06-28
41,301428,世纪恒通,34.6,-4.05,-1.46,26977,93520663.84,5.91,35.89,33.76,35.79,36.06,0.72,11.53,48.01,2.91,2023-06-28
42,688552,航天南湖,23.96,-2.2,-0.54,40730,97469881.0,3.02,24.4,23.66,24.35,24.5,0.84,5.32,-118.31,3.11,2023-06-28
43,301332,德尔玛,14.26,1.28,0.18,110481,158361353.02,2.98,14.58,14.16,14.26,14.08,1.39,13.07,70.82,2.44,2023-06-28
44,301382,蜂助手,36.69,-4.3,-1.65,39917,145633054.18,5.84,37.81,35.57,37.71,38.34,0.78,11.03,52.92,3.96,2023-06-28
45,688512,慧智微-U,20.58,-2.88,-0.61,45727,95361850.0,8.16,21.83,20.1,21.58,21.19,0.74,9.43,-35.49,3.84,2023-06-28
46,001380,华纬科技,31.6,3.1,0.95,35251,108622948.32,8.29,31.91,29.37,30.68,30.65,0.69,11.17,37.52,2.9,2023-06-28
47,301325,曼恩斯特,107.68,1.32,1.4,19304,206431237.77,3.78,108.68,104.66,106.4,106.28,0.96,7.79,48.03,4.76,2023-06-28
48,688479,友车科技,29.95,-1.48,-0.45,24930,74259665.0,4.05,30.5,29.27,30.45,30.4,0.96,7.66,29.77,2.38,2023-06-28
