序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301459,N丰茂,59.22,85.64,27.32,145758,869696576.08,31.97,66.2,56.0,58.0,31.9,,76.85,30.72,4.54,2023-12-13
2,001239,C永达,24.15,1.81,0.43,277140,661496500.63,17.16,25.79,21.72,21.72,23.72,0.79,58.0,70.44,4.85,2023-12-13
3,301516,C中远通,22.55,-5.53,-1.32,249202,573560031.12,5.74,23.77,22.4,23.3,23.87,0.64,40.28,78.12,4.31,2023-12-13
4,688720,艾森股份,63.55,-0.7,-0.45,39150,251289042.0,6.16,65.96,62.02,62.79,64.0,0.47,23.54,226.61,5.59,2023-12-13
5,601083,锦江航运,12.72,-3.27,-0.43,372268,479312273.0,2.89,13.08,12.7,13.02,13.15,0.56,19.77,17.68,2.04,2023-12-13
6,301508,中机认检,36.36,1.65,0.59,132274,480076927.41,7.13,37.56,35.01,35.77,35.77,0.76,30.79,55.08,4.4,2023-12-13
7,688652,京仪装备,58.49,-1.08,-0.64,26518,155521532.0,2.54,59.5,58.0,59.48,59.13,0.4,7.0,63.11,5.09,2023-12-13
8,301568,思泰克,48.7,-0.41,-0.2,57571,284704979.61,3.17,50.25,48.7,49.95,48.9,0.84,23.51,45.24,5.1,2023-12-13
9,688653,康希通信,20.15,0.9,0.18,65354,129912392.0,4.11,20.27,19.45,19.9,19.97,0.9,12.87,4792.08,5.32,2023-12-13
10,001306,夏厦精密,100.7,2.04,2.01,33930,340033943.13,9.01,103.46,94.57,99.08,98.69,1.06,22.34,82.75,4.83,2023-12-13
11,688648,中邮科技,29.04,2.61,0.74,57991,165545435.0,4.38,29.14,27.9,28.57,28.3,1.09,20.16,142.66,2.36,2023-12-13
