序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率
1,301232,N飞沃,69.6,-4.0,-2.9,49909,350898544.09,4.69,72.5,69.1,71.65,72.5,,39.07,45.05,2.42
2,301287,C康力源,47.56,-5.56,-2.8,78565,380557816.87,10.88,51.98,46.5,47.3,50.36,0.69,47.13,37.46,3.15
3,301355,C南王,19.86,-4.7,-0.98,148550,298653757.12,5.23,20.8,19.71,20.26,20.84,0.59,32.11,55.77,2.56
4,688472,C阿特斯,16.4,7.97,1.21,1161278,1864999939.0,14.15,16.85,14.7,15.1,15.19,0.65,27.49,16.1,3.23
5,301383,C天键,39.87,-5.9,-2.5,80968,328168556.97,4.6,41.8,39.85,41.8,42.37,0.7,29.38,60.66,2.66
6,301320,C豪江,27.7,8.37,2.14,266084,708719111.55,14.71,28.06,24.3,24.3,25.56,0.91,61.93,97.35,4.85
7,688623,双元科技,93.68,-1.18,-1.12,15100,141097128.0,3.01,94.86,92.01,94.78,94.8,0.51,11.24,53.41,2.68
8,688576,西山科技,135.4,-3.21,-4.49,21483,294574282.0,3.25,139.94,135.4,138.6,139.89,0.7,18.1,74.91,3.48
9,301323,新莱福,41.49,-6.49,-2.88,78146,331615136.09,6.45,44.24,41.38,43.82,44.37,0.89,33.42,38.5,2.31
10,688570,天玛智控,27.27,1.68,0.45,60127,162624861.0,3.13,27.38,26.54,26.8,26.82,0.78,11.07,31.59,3.08
11,688523,航天环宇,25.7,-2.76,-0.73,46370,120036354.0,3.1,26.43,25.61,26.43,26.43,0.9,13.7,469.1,6.78
12,301310,鑫宏业,60.77,6.07,3.48,58089,347145186.88,9.41,61.99,56.6,57.36,57.29,1.31,26.29,41.18,2.72
13,688593,新相微,19.74,-5.0,-1.04,157640,315836745.0,6.69,20.98,19.59,20.98,20.78,1.03,23.06,112.98,5.72
14,001373,翔腾新材,44.24,-0.72,-0.32,34348,152838379.44,2.51,45.0,43.88,44.56,44.56,0.52,20.0,75.14,3.47
15,301353,普莱得,37.33,0.86,0.32,18713,69422668.2,2.13,37.34,36.55,37.06,37.01,0.59,9.85,46.28,2.36
16,301337,亚华电子,37.65,-0.16,-0.06,28325,106727784.33,1.91,38.05,37.33,37.55,37.71,0.58,11.47,238.6,3.5
17,301252,同星科技,52.03,-4.93,-2.7,75485,399752017.25,6.98,55.42,51.6,53.1,54.73,0.77,37.74,40.46,3.95
18,688562,航天软件,32.51,0.59,0.19,82038,265523622.0,3.37,32.89,31.8,32.46,32.32,0.57,12.47,-5340.85,7.38
19,001282,三联锻造,28.42,0.04,0.01,35522,101185024.51,3.27,28.85,27.92,28.41,28.41,0.78,12.77,42.15,2.41
20,301399,英特科技,66.9,-2.69,-1.85,78972,547710613.09,9.0,72.92,66.73,68.73,68.75,0.78,37.85,113.57,4.59
