序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,603135,N中重,28.48,60.0,10.68,556055,1572135135.0,56.4,33.71,23.67,25.93,17.8,,63.7,45.25,4.3,2023-04-10
2,603125,N常青,44.6,71.67,18.62,311518,1385589300.0,63.51,54.0,37.5,42.34,25.98,,66.04,45.04,4.36,2023-04-10
3,601133,N柏诚,24.56,110.63,12.9,853435,1919756806.0,71.27,27.16,18.85,20.89,11.66,,67.68,51.16,4.84,2023-04-10
4,601065,N江盐,16.3,57.34,5.94,956616,1557230629.0,67.57,20.5,13.5,13.51,10.36,,61.64,24.62,2.86,2023-04-10
5,601061,N中信金,11.24,70.82,4.66,3015649,3423150028.0,80.85,14.21,8.89,8.89,6.58,,62.04,24.86,3.21,2023-04-10
6,001367,N海森,74.88,68.35,30.4,119640,864163553.27,54.65,84.5,60.19,65.0,44.48,,71.82,47.31,4.45,2023-04-10
7,001360,N南矿,28.15,83.03,12.77,326527,919440426.59,74.71,35.1,23.61,27.0,15.38,,65.34,47.51,4.51,2023-04-10
8,001328,N登康,56.64,173.89,35.96,325193,1595312751.21,116.1,65.0,40.99,41.0,20.68,,77.1,72.45,7.13,2023-04-10
9,001287,N中电港,38.2,221.55,26.32,1375286,4509105567.81,99.33,40.3,28.5,31.0,11.88,,74.63,72.46,5.92,2023-04-10
10,001286,N陕西能,14.2,47.92,4.6,4483825,6180005487.05,80.21,17.7,10.0,10.0,9.6,,61.63,21.55,2.44,2023-04-10
11,688484,C南芯,51.04,-14.0,-8.31,221107,1201766292.0,9.91,56.88,51.0,56.75,59.35,0.59,40.37,87.8,6.27,2023-04-10
12,688535,C华海,65.93,-9.32,-6.78,75776,514678034.0,11.51,72.48,64.11,72.3,72.71,0.66,46.11,129.05,5.26,2023-04-10
13,688343,C云天-U,85.01,-15.83,-15.99,328964,3192636327.0,22.54,105.99,83.22,104.02,101.0,0.84,44.14,-69.26,6.44,2023-04-10
14,301281,C科源,38.12,-4.7,-1.88,50360,195769274.17,5.45,40.26,38.08,38.65,40.0,0.74,27.44,32.3,2.3,2023-04-10
15,301203,C国泰环,38.18,-3.12,-1.23,32173,124254019.56,2.97,39.35,38.18,39.35,39.41,0.53,18.85,20.54,2.16,2023-04-10
16,301141,C中科磁,40.55,-3.75,-1.58,68360,277698304.28,7.5,42.55,39.39,40.49,42.13,0.71,33.72,40.19,2.9,2023-04-10
17,688531,日联科技,187.42,-4.03,-7.87,26068,504556748.0,8.7,201.99,185.0,195.0,195.29,0.45,15.0,207.49,4.7,2023-04-10
18,603162,海通发展,30.08,-0.99,-0.3,29861,90328647.0,2.01,30.64,30.03,30.63,30.38,0.74,7.23,18.49,3.57,2023-04-10
19,600925,苏能股份,6.55,-0.15,-0.01,647294,425175974.0,3.35,6.67,6.45,6.55,6.56,0.52,9.4,16.6,3.02,2023-04-10
20,301386,未来电器,24.86,-2.51,-0.64,40579,101817252.65,2.27,25.43,24.85,25.3,25.5,0.64,12.22,43.22,2.28,2023-04-10
21,301314,科瑞思,69.79,-2.92,-2.1,19064,134712801.92,3.27,72.14,69.79,71.14,71.89,0.62,17.94,28.77,2.78,2023-04-10
22,603291,联合水务,16.29,-10.0,-1.81,213514,356726957.0,7.35,17.62,16.29,17.25,18.1,1.52,50.45,53.14,4.38,2023-04-10
23,603065,宿迁联盛,16.43,-3.92,-0.67,56112,93791558.0,3.74,17.05,16.41,17.0,17.1,0.93,13.39,27.94,3.28,2023-04-10
24,301345,涛涛车业,50.95,-0.31,-0.16,13523,69230863.72,1.96,51.76,50.76,51.7,51.11,0.9,5.64,27.0,1.98,2023-04-10
25,301378,通达海,111.64,-4.02,-4.67,24104,278774753.65,8.54,121.53,111.6,115.61,116.31,0.95,20.96,58.52,3.58,2023-04-10
26,301246,宏源药业,36.74,0.22,0.08,22552,82295492.64,1.39,36.78,36.27,36.62,36.66,0.9,5.08,32.42,3.4,2023-04-10
27,301439,泓淋电力,18.1,-2.37,-0.44,73554,133852980.83,2.32,18.5,18.07,18.43,18.54,0.9,7.97,39.29,2.66,2023-04-10
28,603073,彩蝶实业,20.6,-3.33,-0.71,37458,77752152.0,3.19,21.2,20.52,21.2,21.31,0.91,12.92,21.76,1.96,2023-04-10
29,603282,亚光股份,34.41,1.24,0.42,57883,200755423.0,4.0,35.36,34.0,34.0,33.99,0.7,17.28,27.47,4.21,2023-04-10
30,603153,上海建科,18.21,-3.8,-0.72,109665,200740749.0,4.54,18.88,18.02,18.88,18.93,0.64,19.94,27.08,2.31,2023-04-10
31,001368,通达创智,27.24,-3.75,-1.06,54620,150156364.71,3.99,28.2,27.07,28.12,28.3,0.74,19.51,23.18,2.3,2023-04-10
32,601121,宝地矿业,8.65,-2.26,-0.2,251660,221226885.0,3.73,8.98,8.65,8.75,8.85,0.64,12.58,34.58,2.35,2023-04-10
33,688502,茂莱光学,254.2,3.59,8.8,22529,582845496.0,18.4,288.0,242.85,248.01,245.4,1.23,18.68,227.43,11.42,2023-04-10
34,301157,华塑科技,66.46,5.17,3.27,44667,289165114.79,8.99,67.18,61.5,64.0,63.19,1.48,31.4,69.95,3.86,2023-04-10
35,001278,一彬科技,23.33,-2.63,-0.63,40451,95548556.27,4.09,24.25,23.27,24.08,23.96,0.57,13.08,25.68,2.4,2023-04-10
36,001366,播恩集团,17.58,-3.78,-0.69,147464,263590148.86,6.35,18.55,17.39,18.01,18.27,0.65,36.55,36.49,3.36,2023-04-10
37,301322,绿通科技,121.33,-1.36,-1.67,8300,99598004.58,6.43,125.16,117.25,121.0,123.0,1.05,5.0,27.21,3.03,2023-04-10
38,603061,金海通,114.69,-6.06,-7.4,28877,339865665.0,5.32,121.18,114.69,120.94,122.09,0.76,19.25,44.7,5.18,2023-04-10
39,001337,四川黄金,27.83,-2.69,-0.77,160795,449207030.23,4.86,28.8,27.41,28.03,28.6,0.66,26.8,58.83,9.5,2023-04-10
40,688522,纳睿雷达,62.15,-3.94,-2.55,28301,180388940.0,4.9,65.29,62.12,64.69,64.7,0.68,7.91,90.72,4.37,2023-04-10
41,301408,华人健康,20.47,0.1,0.02,62790,126918495.95,2.15,20.48,20.04,20.25,20.45,0.8,11.14,50.75,4.48,2023-04-10
42,001311,多利科技,82.54,-4.02,-3.46,36696,303329004.9,5.7,85.9,81.0,84.31,86.0,0.91,10.39,26.2,3.0,2023-04-10
43,001225,和泰机电,50.31,-0.53,-0.27,6727,33963570.6,1.66,50.84,50.0,50.58,50.58,0.97,4.16,14.72,2.3,2023-04-10
44,688486,龙迅股份,106.0,-0.47,-0.5,33730,383205848.0,23.13,125.67,101.04,114.0,106.5,2.23,22.68,106.08,5.45,2023-04-10
45,301303,真兰仪表,23.83,-1.57,-0.38,27294,65612318.52,2.11,24.32,23.81,24.18,24.21,0.84,3.94,39.68,2.53,2023-04-10
46,603190,亚通精工,30.36,-1.81,-0.56,19184,58647956.0,1.91,30.95,30.36,30.75,30.92,1.09,6.39,24.16,1.9,2023-04-10
47,688307,中润光学,40.96,5.79,2.24,63190,260872288.0,11.26,43.86,39.5,39.96,38.72,2.73,34.63,87.67,4.43,2023-04-10
48,603307,扬州金泉,55.9,0.99,0.55,12589,70101000.0,4.44,56.56,54.1,55.15,55.35,1.05,7.52,13.37,3.39,2023-04-10
49,001260,坤泰股份,22.86,-4.15,-0.99,35956,83727411.32,4.15,23.85,22.86,23.84,23.85,0.95,12.51,42.53,3.44,2023-04-10
50,001314,亿道信息,45.05,-2.93,-1.36,33513,154338002.56,4.5,47.09,45.0,46.3,46.41,0.82,9.54,27.75,3.2,2023-04-10
51,688515,裕太微-U,204.2,-9.04,-20.3,26646,568767288.0,8.95,224.3,204.2,224.3,224.5,0.98,14.63,-40657.04,8.33,2023-04-10
52,301419,阿莱德,36.99,-2.3,-0.87,23746,89097823.73,3.72,38.31,36.9,37.33,37.86,0.69,10.02,57.91,4.03,2023-04-10
53,301358,湖南裕能,44.87,7.68,3.2,191836,841662479.11,8.71,45.45,41.82,42.3,41.67,3.16,15.4,12.03,3.73,2023-04-10
