序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,688648,C中邮,36.43,5.69,1.96,182313,689726377.0,20.19,41.83,34.87,35.6,34.47,0.99,63.39,178.97,2.96,2023-11-15
2,001326,C联域,64.92,-7.78,-5.48,100315,686047249.99,11.55,72.96,64.83,68.01,70.4,0.82,55.94,26.68,3.96,2023-11-15
3,603062,麦加芯彩,59.68,1.17,0.69,49152,293626551.0,1.97,60.35,59.19,59.61,58.99,0.51,18.58,31.13,2.88,2023-11-15
4,001376,百通能源,26.47,1.65,0.43,131118,343604252.4,3.69,26.57,25.61,26.18,26.04,0.71,28.45,91.03,12.11,2023-11-15
5,603107,上海汽配,29.34,4.19,1.18,223914,643733309.0,4.76,29.45,28.11,28.17,28.16,1.11,27.09,59.13,5.03,2023-11-15
6,301555,惠柏新材,51.46,0.94,0.48,50016,258935159.21,2.88,52.55,51.08,51.2,50.98,0.77,22.86,77.32,4.46,2023-11-15
7,001378,德冠新材,46.0,1.43,0.65,46915,215702303.69,1.7,46.28,45.51,45.55,45.35,0.85,14.9,45.42,3.29,2023-11-15
8,301489,思泉新材,85.0,-1.79,-1.55,33542,282790380.37,4.16,86.5,82.9,86.0,86.55,0.53,24.53,97.78,5.0,2023-11-15
9,603273,天元智能,28.8,-1.37,-0.4,108831,316233256.0,3.42,29.72,28.72,29.49,29.2,0.55,20.73,101.98,7.32,2023-11-15
10,603193,润本股份,18.05,-0.44,-0.08,48545,87430001.0,1.71,18.23,17.92,18.19,18.13,0.98,8.25,30.31,3.89,2023-11-15
11,301517,陕西华达,66.03,-1.76,-1.18,36252,239162265.18,4.51,68.0,64.97,67.3,67.21,0.83,17.1,86.58,5.44,2023-11-15
