序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,688472,N阿特斯,13.05,17.57,1.95,2831691,3588367210.0,14.77,13.6,11.96,12.9,11.1,,67.04,12.81,2.57,2023-06-09
2,301383,N天键,46.49,0.71,0.33,176107,847301591.65,15.86,53.5,46.18,46.56,46.16,,63.9,70.73,3.1,2023-06-09
3,301320,N豪江,26.1,99.85,13.04,320308,848716351.01,39.66,29.98,24.8,25.0,13.06,,74.55,91.73,4.57,2023-06-09
4,688623,C双元,96.09,-6.15,-6.3,34659,338880441.0,5.72,101.86,96.0,100.01,102.39,0.65,25.79,54.79,2.74,2023-06-09
5,688576,C西山,147.18,-4.62,-7.13,33846,514180829.0,9.07,159.34,145.35,154.51,154.31,0.55,28.52,81.43,3.78,2023-06-09
6,301323,C新莱福,42.57,-6.83,-3.12,101136,434292070.07,5.45,44.51,42.02,43.2,45.69,0.76,43.25,39.5,2.37,2023-06-09
7,688570,C天玛,27.14,-3.28,-0.92,89939,246285479.0,3.21,27.98,27.08,27.9,28.06,0.45,16.56,31.44,3.07,2023-06-09
8,688523,航天环宇,27.21,-1.34,-0.37,52658,143303275.0,3.34,27.66,26.74,27.22,27.58,0.38,15.56,496.66,7.18,2023-06-09
9,301310,鑫宏业,58.31,0.83,0.48,37351,218628098.61,3.2,59.44,57.59,57.6,57.83,0.5,16.9,39.52,2.61,2023-06-09
10,688593,新相微,20.9,5.88,1.16,175272,354930075.0,8.16,21.01,19.4,19.66,19.74,0.62,25.63,119.62,6.06,2023-06-09
11,001373,翔腾新材,47.79,-10.0,-5.31,81134,393799046.07,7.85,51.96,47.79,50.88,53.1,0.78,47.25,81.17,3.75,2023-06-09
12,301353,普莱得,38.9,-1.82,-0.72,34493,132653524.81,3.79,39.38,37.88,38.44,39.62,0.72,18.15,48.23,2.46,2023-06-09
13,301337,亚华电子,41.45,1.37,0.56,55503,223960734.36,6.11,41.77,39.27,40.15,40.89,0.9,22.47,262.68,3.85,2023-06-09
14,301252,同星科技,51.71,20.0,8.62,99962,484565030.06,21.17,51.71,42.59,43.0,43.09,1.55,49.98,40.21,3.93,2023-06-09
15,688562,航天软件,33.99,7.97,2.51,197029,656531083.0,10.61,34.94,31.6,31.65,31.48,1.05,29.95,-5583.99,7.71,2023-06-09
16,001282,三联锻造,28.23,1.04,0.29,37650,106786285.43,2.65,28.7,27.96,27.96,27.94,0.61,13.54,41.87,2.4,2023-06-09
17,301399,英特科技,73.2,12.03,7.86,124978,918443482.09,17.25,78.0,66.73,66.73,65.34,1.28,59.9,124.27,5.02,2023-06-09
18,301305,朗坤环境,22.46,2.23,0.49,75009,168465384.81,4.46,22.87,21.89,21.89,21.97,1.5,13.4,32.28,1.65,2023-06-09
19,688458,美芯晟,84.2,4.4,3.55,11001,90062940.0,6.76,84.58,79.13,80.3,80.65,0.54,6.1,-373.19,3.29,2023-06-09
20,001324,长青科技,23.28,1.88,0.43,57158,129492206.87,5.38,23.28,22.05,22.37,22.85,0.73,16.91,61.83,3.04,2023-06-09
21,688581,安杰思,117.96,0.57,0.67,9639,114410388.0,5.01,121.96,116.08,117.0,117.29,0.99,7.46,49.86,3.3,2023-06-09
22,688361,中科飞测-U,82.06,6.3,4.86,64026,514346801.0,6.97,82.66,77.28,77.28,77.2,1.01,10.68,209.29,11.42,2023-06-09
23,301428,世纪恒通,42.29,5.02,2.02,63180,264147149.76,6.36,42.56,40.0,40.52,40.27,1.09,27.01,58.68,3.55,2023-06-09
24,688552,航天南湖,25.78,0.86,0.22,67145,171659487.0,2.93,26.03,25.28,25.37,25.56,0.73,8.77,-127.3,3.35,2023-06-09
25,301332,德尔玛,13.86,0.51,0.07,62779,86904234.52,1.52,13.95,13.74,13.74,13.79,0.49,7.43,68.83,2.37,2023-06-09
26,301382,蜂助手,45.46,3.86,1.69,76876,345218684.53,5.37,45.66,43.31,43.6,43.77,0.71,21.24,65.57,4.91,2023-06-09
27,688512,慧智微-U,23.38,7.0,1.53,103684,233366633.0,9.75,23.5,21.37,21.69,21.85,1.42,21.39,-40.32,4.36,2023-06-09
28,001380,华纬科技,28.04,1.37,0.38,31527,88514735.97,3.47,28.48,27.52,27.52,27.66,0.53,9.99,33.29,2.57,2023-06-09
29,301325,曼恩斯特,100.21,-3.09,-3.2,22647,228848811.05,5.76,104.78,98.82,104.0,103.41,0.6,9.14,44.7,4.43,2023-06-09
30,688479,友车科技,32.12,7.14,2.14,76270,244563601.0,10.91,33.74,30.47,30.47,29.98,2.41,23.44,31.92,2.55,2023-06-09
31,688469,中芯集成-U,5.87,1.73,0.1,369147,214677516.0,1.73,5.87,5.77,5.79,5.77,0.63,3.55,-20.63,3.34,2023-06-09
32,603172,万丰股份,16.88,0.84,0.14,22398,37619058.0,1.91,16.92,16.6,16.73,16.74,0.78,6.85,36.59,2.23,2023-06-09
