序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,688570,N天玛,33.13,9.48,2.87,381745,1270440966.0,16.52,36.6,31.6,33.54,30.26,,70.29,38.38,3.75,2023-06-05
2,688523,C环宇,29.5,-13.21,-4.49,169103,515277455.0,7.06,31.9,29.5,31.5,33.99,0.65,49.97,538.46,7.78,2023-06-05
3,301310,C鑫宏业,65.3,-0.7,-0.46,94735,631185844.2,7.22,68.8,64.05,66.66,65.76,0.9,42.87,44.25,2.93,2023-06-05
4,688593,C新相微,20.55,-4.46,-0.96,289277,611902768.0,6.46,21.94,20.55,21.0,21.51,0.55,42.31,117.62,5.96,2023-06-05
5,001373,C翔腾,57.25,-7.57,-4.69,112228,627462518.44,20.13,63.5,51.03,55.0,61.94,0.9,65.36,97.23,4.49,2023-06-05
6,301353,C普莱得,38.71,-4.77,-1.94,57204,223102996.11,3.37,39.95,38.58,39.86,40.65,0.62,30.11,47.99,2.44,2023-06-05
7,301337,亚华电子,39.45,0.31,0.12,40507,160002130.52,1.88,39.95,39.21,39.36,39.33,0.46,16.4,250.01,3.67,2023-06-05
8,301252,同星科技,43.6,-1.11,-0.49,42625,187772772.96,3.81,44.84,43.16,43.2,44.09,0.64,21.31,33.9,3.31,2023-06-05
9,688562,航天软件,30.99,0.88,0.27,120532,374277569.0,4.2,31.7,30.41,30.63,30.72,0.51,18.32,-5091.14,7.03,2023-06-05
10,001282,三联锻造,29.23,-2.47,-0.74,60281,176633631.99,2.87,29.84,28.98,29.43,29.97,0.52,21.68,43.36,2.48,2023-06-05
11,301399,英特科技,51.9,-2.7,-1.44,50857,261493436.66,3.39,52.26,50.45,52.26,53.34,0.56,24.37,88.11,3.56,2023-06-05
12,301305,朗坤环境,22.27,1.83,0.4,54563,121055032.51,2.33,22.44,21.93,22.18,21.87,0.62,9.75,32.0,1.64,2023-06-05
13,688458,美芯晟,86.0,-1.92,-1.68,29851,266945550.0,9.55,93.5,85.13,90.13,87.68,0.83,16.54,-381.17,3.36,2023-06-05
14,001324,长青科技,22.2,3.64,0.78,62996,137795221.24,4.11,22.2,21.32,21.45,21.42,0.89,18.64,58.97,2.9,2023-06-05
15,688581,安杰思,125.0,-4.2,-5.48,9311,118239031.0,5.28,131.39,124.5,129.0,130.48,0.75,7.21,52.84,3.5,2023-06-05
16,688361,中科飞测-U,80.08,-2.64,-2.17,87299,725815874.0,9.78,87.67,79.63,84.36,82.25,0.97,14.57,204.24,11.14,2023-06-05
17,301428,世纪恒通,43.29,6.63,2.69,86912,369469469.57,8.6,43.6,40.11,40.55,40.6,1.4,37.15,60.06,3.64,2023-06-05
18,688552,航天南湖,26.98,0.63,0.17,91676,246898280.0,2.87,27.38,26.61,27.01,26.81,0.74,11.98,-133.22,3.5,2023-06-05
19,301332,德尔玛,14.24,-0.9,-0.13,83559,119098578.87,1.88,14.42,14.15,14.37,14.37,0.67,9.88,70.72,2.43,2023-06-05
20,301382,蜂助手,49.71,-1.17,-0.59,104905,526735850.32,4.77,51.49,49.09,49.55,50.3,0.65,28.99,71.7,5.37,2023-06-05
21,688512,慧智微-U,22.55,4.3,0.93,97588,221894190.0,8.6,23.4,21.54,21.54,21.62,1.18,20.14,-38.89,4.21,2023-06-05
22,001380,华纬科技,28.99,1.22,0.35,64425,187655916.42,6.15,29.96,28.2,28.6,28.64,0.52,20.41,34.42,2.66,2023-06-05
