序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,688653,康希通信,20.79,-7.85,-1.77,159585,336573723.0,5.94,21.89,20.55,21.89,22.56,0.59,31.43,4944.29,5.49,2023-11-24
2,001306,夏厦精密,95.96,0.39,0.37,60457,565408738.07,8.08,97.61,89.89,94.01,95.59,0.76,39.81,78.85,4.6,2023-11-24
3,688648,中邮科技,27.32,-3.63,-1.03,49815,137501155.0,3.07,28.19,27.32,28.16,28.35,0.71,17.32,134.21,2.22,2023-11-24
4,001326,联域股份,56.06,-4.02,-2.35,37725,213215362.94,4.71,58.26,55.51,58.06,58.41,0.86,21.04,23.04,3.42,2023-11-24
5,603062,麦加芯彩,67.1,0.6,0.4,56815,382836624.0,4.6,68.82,65.75,66.1,66.7,0.88,21.47,35.0,3.24,2023-11-24
6,001376,百通能源,27.0,-10.0,-3.0,175317,478825588.3,6.3,28.89,27.0,28.18,30.0,1.01,38.04,92.85,12.36,2023-11-24
7,603107,上海汽配,27.97,-3.49,-1.01,137533,387305821.0,3.14,28.78,27.87,28.62,28.98,1.07,16.64,56.37,4.79,2023-11-24
8,301555,惠柏新材,46.1,-6.43,-3.17,52089,244250895.51,6.23,49.0,45.93,48.95,49.27,1.08,23.81,69.26,4.0,2023-11-24
9,001378,德冠新材,42.63,-4.29,-1.91,46752,201859747.18,4.42,44.45,42.48,44.45,44.54,1.42,14.85,42.1,3.05,2023-11-24
