序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率
1,301362,N民爆,55.43,8.58,4.38,175267,1023758670.19,17.94,64.54,55.38,57.58,51.05,,72.96,32.21,2.39
2,301518,C长华,32.43,-6.86,-2.39,180504,577605705.33,12.0,34.2,30.02,31.35,34.82,0.74,54.3,57.36,3.37
3,301509,C金凯,63.9,-11.89,-8.62,109752,714119189.43,7.93,68.97,63.22,67.0,72.52,0.76,53.8,33.8,2.71
4,603119,C浙荣,33.0,5.53,1.73,355869,1174582477.0,14.52,34.88,30.34,30.38,31.27,0.82,51.88,74.52,6.02
5,301371,C敷尔佳,57.98,-2.73,-1.63,107484,634666406.72,5.59,61.18,57.85,59.22,59.61,0.56,28.56,36.4,4.63
6,688646,逸飞激光,45.52,-4.17,-1.98,55307,252872123.0,6.06,47.74,44.86,46.99,47.5,0.68,30.92,124.82,2.76
7,301519,舜禹股份,33.97,-8.95,-3.34,222664,785291618.95,7.21,36.66,33.97,35.79,37.31,0.9,57.04,349.64,3.84
8,688651,盛邦安全,46.4,0.28,0.13,28995,134717373.0,2.85,47.25,45.93,46.12,46.27,0.55,18.38,-123.81,3.74
9,688612,威迈斯,48.6,7.47,3.38,91791,431262801.0,8.18,48.6,44.9,44.9,45.22,0.88,29.31,58.02,6.92
10,301172,君逸数码,42.8,2.84,1.18,142932,613394544.45,11.0,44.78,40.2,40.81,41.62,0.81,51.66,-306.63,3.77
11,301515,港通医疗,33.55,-0.27,-0.09,57613,193401118.21,5.05,34.3,32.6,33.0,33.64,0.59,24.3,137.54,2.68
12,301446,福事特,34.43,-2.8,-0.99,43025,149728430.29,3.64,35.62,34.33,35.6,35.42,0.61,21.51,30.95,2.65
13,688450,光格科技,45.32,1.27,0.57,12023,54229325.0,1.94,45.45,44.58,44.76,44.75,0.56,8.13,-68.27,2.88
14,301468,博盈特焊,37.34,-1.01,-0.38,27330,102501897.62,1.46,37.86,37.31,37.68,37.72,0.51,8.73,40.52,2.23
15,301499,维科精密,50.42,1.86,0.92,211442,1079759311.75,11.21,54.35,48.8,49.5,49.5,0.94,64.5,178.12,5.88
16,688602,康鹏科技,10.88,-1.36,-0.15,90655,99260547.0,2.45,11.14,10.87,11.01,11.03,0.76,10.7,37.91,2.07
17,301512,智信精密,64.87,1.34,0.86,42743,284302416.8,5.92,68.6,64.81,66.0,64.01,1.2,32.06,-72.09,3.61
18,688610,埃科光电,67.0,4.87,3.11,14118,94592862.0,9.85,69.85,63.56,63.89,63.89,1.75,10.44,390.06,3.07
19,688563,航材股份,58.98,-0.71,-0.42,30447,180303362.0,1.33,59.68,58.89,59.5,59.4,1.04,4.47,54.86,2.76
20,301505,苏州规划,66.6,-2.6,-1.78,98639,676115745.58,10.92,72.58,65.11,68.52,68.38,0.84,50.03,375.85,6.09
21,688627,精智达,96.2,-3.21,-3.19,32096,309195521.0,4.16,98.81,94.68,98.02,99.39,0.86,16.08,-660.81,5.7
22,301503,智迪科技,35.7,-3.95,-1.47,56984,204345716.05,3.2,36.69,35.5,36.1,37.17,0.96,28.49,72.24,3.05
23,301329,信音电子,23.36,-1.56,-0.37,87108,205355863.47,3.5,24.12,23.29,23.48,23.73,0.71,21.36,54.84,2.65
24,301456,盘古智能,38.77,-3.39,-1.36,74189,288431840.71,4.34,39.9,38.16,39.5,40.13,1.0,21.45,49.54,2.87
25,301272,英华特,67.9,-2.58,-1.8,18766,127318620.95,5.25,70.22,66.56,68.85,69.7,0.88,13.52,132.69,4.19
26,688638,誉辰智能,68.53,-1.75,-1.22,5774,39915447.0,2.42,70.2,68.51,69.77,69.75,1.48,6.45,-188.47,2.6
27,301393,昊帆生物,81.8,-2.44,-2.05,15556,128764818.95,3.33,84.39,81.6,83.31,83.85,0.62,6.65,60.86,4.06
28,301381,赛维时代,42.09,-2.41,-1.04,103314,441362225.83,5.61,44.08,41.66,42.2,43.13,0.77,32.89,81.01,7.55
29,301370,国科恒泰,17.53,-1.85,-0.33,88762,156408286.68,1.85,17.84,17.51,17.75,17.86,0.67,13.4,78.31,3.55
30,688603,天承科技,92.46,2.62,2.36,5477,50176890.0,5.42,93.1,88.22,89.1,90.1,0.73,4.56,118.12,5.14
31,301261,恒工精密,41.56,-0.67,-0.28,21213,88095348.76,1.98,42.12,41.29,41.68,41.84,0.74,10.72,30.26,2.59
32,301486,致尚科技,51.75,2.11,1.07,53751,274351449.19,4.32,51.85,49.66,50.25,50.68,1.34,17.62,99.59,2.71
33,301292,海科新源,23.82,-2.5,-0.61,54890,131656930.89,3.36,24.43,23.61,24.43,24.43,1.42,12.8,42.52,1.69
34,301202,朗威股份,35.02,5.35,1.78,87385,300163124.49,6.56,35.18,33.0,33.0,33.24,1.75,27.05,157.58,4.04
35,301488,豪恩汽电,84.12,1.57,1.3,47405,397813648.35,3.91,85.4,82.16,83.03,82.82,0.63,23.83,127.36,6.44
36,301395,仁信新材,22.9,-0.3,-0.07,15041,34447961.36,0.7,23.0,22.84,22.91,22.97,0.68,4.38,53.75,2.05
37,688582,芯动联科,41.94,0.36,0.15,42475,176391867.0,4.47,42.45,40.58,41.69,41.79,1.09,9.22,205.16,8.35
38,301291,明阳电气,31.63,-0.03,-0.01,26159,82576797.19,0.92,31.77,31.48,31.58,31.64,0.66,3.85,55.64,2.61
39,301210,金杨股份,44.32,-0.45,-0.2,6095,27065046.79,1.17,44.8,44.28,44.8,44.52,0.86,3.71,67.1,2.07
40,688429,时创能源,25.13,-0.83,-0.21,17056,42900169.0,2.25,25.48,24.91,25.34,25.34,1.04,5.73,39.11,4.67
41,688631,莱斯信息,34.93,0.43,0.15,9563,33605288.0,1.84,35.4,34.76,35.0,34.78,0.92,2.85,-44.76,3.36
42,301397,溯联股份,49.2,7.33,3.36,50679,245055731.06,8.46,49.49,45.61,45.68,45.84,1.44,21.36,40.23,2.68
43,301295,美硕科技,37.62,0.86,0.32,22818,85066657.25,2.01,37.68,36.93,37.2,37.3,0.76,13.37,55.85,2.9
44,688629,华丰科技,21.66,3.44,0.72,137718,299866537.0,8.45,22.55,20.78,20.94,20.94,1.74,25.15,214.05,6.94
45,688620,安凯微,14.04,2.11,0.29,71840,100176004.0,1.89,14.06,13.8,13.87,13.75,1.41,8.52,355.68,3.65
46,301170,锡南科技,35.39,0.88,0.31,23252,82193711.63,1.62,35.65,35.08,35.31,35.08,0.63,9.81,42.49,2.28
47,300804,广康生化,34.5,-0.17,-0.06,5498,18997508.35,0.69,34.69,34.45,34.54,34.56,0.7,3.24,29.37,1.92
48,688543,国科军工,50.04,-0.58,-0.29,26366,132216562.0,2.4,50.77,49.56,50.4,50.33,0.85,7.95,194.26,3.44
49,301376,致欧科技,26.0,-3.06,-0.82,53642,140322200.08,6.23,27.29,25.62,27.29,26.82,0.89,16.03,29.87,3.75
50,301315,威士顿,79.0,-2.23,-1.8,144608,1182753045.68,16.61,90.66,77.24,81.5,80.8,1.07,69.31,196.26,7.24
51,688443,智翔金泰-U,29.49,-4.13,-1.27,34976,104417993.0,4.58,30.86,29.45,30.85,30.76,0.55,4.23,-13.45,3.37
52,301262,海看股份,28.67,-2.85,-0.84,72587,210694701.49,4.74,29.9,28.5,29.51,29.51,0.73,18.54,27.87,3.43
53,688334,西高院,17.18,0.53,0.09,23984,41067619.0,1.05,17.19,17.01,17.14,17.09,0.58,3.36,39.04,1.85
54,301448,开创电气,29.2,-0.88,-0.26,15720,46031485.0,1.49,29.6,29.16,29.51,29.46,0.84,7.86,49.05,3.66
