序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,001376,C百通,34.99,-10.05,-3.91,312435,1071712362.48,10.41,36.85,32.8,35.01,38.9,0.8,67.79,120.33,16.01,2023-11-06
2,603107,C汽配,32.46,-5.75,-1.98,370797,1189157521.0,6.79,33.33,30.99,32.5,34.44,0.76,44.87,65.42,5.56,2023-11-06
3,301555,C惠柏,54.45,-4.49,-2.56,105968,568071592.17,6.93,55.97,52.02,53.55,57.01,0.77,48.44,81.81,4.72,2023-11-06
4,001378,德冠新材,46.96,-2.92,-1.41,112744,524752063.6,3.41,47.51,45.86,47.19,48.37,0.67,35.8,46.37,3.36,2023-11-06
5,301489,思泉新材,71.7,7.59,5.06,55918,393852687.14,7.01,72.0,67.33,68.0,66.64,0.89,40.89,82.48,4.22,2023-11-06
6,603273,天元智能,28.3,2.5,0.69,153857,434494523.0,5.22,29.1,27.66,27.69,27.61,0.76,29.31,100.21,7.19,2023-11-06
7,603193,润本股份,18.45,3.42,0.61,78806,144909381.0,5.61,18.77,17.77,17.8,17.84,0.62,13.39,30.98,3.98,2023-11-06
8,301517,陕西华达,65.95,3.42,2.18,50303,328854986.58,4.67,66.49,63.51,63.51,63.77,0.59,23.73,86.47,5.44,2023-11-06
9,301559,中集环科,20.7,1.57,0.32,72918,150222446.98,1.77,20.79,20.43,20.55,20.38,1.26,8.63,19.14,1.75,2023-11-06
10,688657,浩辰软件,89.0,7.11,5.91,15677,138667050.0,14.68,95.19,82.99,83.0,83.09,2.5,16.56,70.84,1.63,2023-11-06
