序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301413,N安培龙,93.0,179.7,59.75,133044,1097321954.91,64.66,96.0,74.5,80.0,33.25,,82.39,86.62,6.23,2023-12-18
2,603231,C索宝,24.61,-13.53,-3.85,221127,560049310.0,7.45,26.72,24.6,26.18,28.46,0.71,47.14,29.67,2.54,2023-12-18
3,301459,C丰茂,47.0,-5.3,-2.63,67255,322493782.86,6.45,50.0,46.8,48.81,49.63,0.57,35.46,24.38,3.6,2023-12-18
4,001239,C永达,17.21,-10.36,-1.99,186724,334771332.69,9.79,18.98,17.1,18.7,19.2,0.69,39.07,50.2,3.46,2023-12-18
5,301516,中远通,20.24,-3.34,-0.7,154746,318047370.48,4.35,21.1,20.19,20.6,20.94,0.55,25.01,70.12,3.87,2023-12-18
6,688720,艾森股份,58.32,-0.65,-0.38,19857,117411634.0,3.8,60.21,57.98,58.51,58.7,0.42,11.94,207.96,5.13,2023-12-18
7,601083,锦江航运,13.7,10.04,1.25,729710,966956922.0,8.19,13.7,12.68,12.68,12.45,1.77,38.75,19.04,2.19,2023-12-18
8,301508,中机认检,38.28,-2.35,-0.92,193693,752071115.36,9.18,40.9,37.3,37.56,39.2,1.34,45.09,57.99,4.63,2023-12-18
9,688652,京仪装备,57.98,1.4,0.8,34025,195363988.0,4.65,58.56,55.9,56.5,57.18,0.77,8.98,62.56,5.04,2023-12-18
10,301568,思泰克,45.72,-0.61,-0.28,36219,167196803.37,3.54,46.9,45.27,45.27,46.0,0.58,14.79,42.47,4.79,2023-12-18
