序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,688719,C爱科,67.12,2.36,1.55,75941,520625374.0,7.7,70.55,65.5,66.5,65.57,0.81,41.85,50.95,3.18,2023-10-09
2,301558,C三态,14.55,-23.22,-4.4,635164,989467536.09,12.98,17.0,14.54,17.0,18.95,0.74,57.1,70.43,8.48,2023-10-09
3,603276,C恒兴,25.54,-2.63,-0.69,74700,193566646.0,4.0,26.52,25.47,26.36,26.23,0.44,19.65,46.18,2.37,2023-10-09
4,301520,C万邦医,72.89,-2.84,-2.13,72816,534148274.04,9.05,77.5,70.71,73.11,75.02,0.72,46.07,45.14,3.45,2023-10-09
5,301500,飞南资源,24.82,-1.9,-0.48,69216,173004167.44,2.61,25.4,24.74,25.23,25.3,0.45,18.42,41.01,2.3,2023-10-09
6,688716,中研股份,27.55,-0.4,-0.11,22590,62486179.0,1.92,27.95,27.42,27.65,27.66,0.5,8.27,70.97,2.91,2023-10-09
7,301548,崇德科技,63.64,-3.44,-2.27,31121,200329813.5,3.11,65.69,63.64,65.69,65.91,0.62,21.88,37.95,2.76,2023-10-09
8,301550,斯菱股份,48.96,5.13,2.39,92209,442396230.58,7.52,49.88,46.38,47.5,46.57,0.84,35.35,40.91,3.57,2023-10-09
9,688702,盛科通信-U,54.58,-6.86,-4.02,51165,285444079.0,6.23,58.23,54.58,58.23,58.6,0.65,13.76,315.55,9.29,2023-10-09
10,603075,热威股份,27.33,-2.84,-0.8,53228,148035961.0,3.91,28.39,27.29,28.19,28.13,0.73,13.72,46.21,5.89,2023-10-09
11,301529,福赛科技,45.79,-1.44,-0.67,33242,153843279.3,4.09,47.51,45.61,46.88,46.46,0.75,17.33,48.4,3.28,2023-10-09
