序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
31,301169,零点有数,19.996967315673828,79.15,1034409760,2225866431.2000003,5717778112.1,56.70137405395508,100864802,135039,135039,0,1/1,1,专业服务,2023-08-30
19,300097,智云股份,20.058996200561523,8.14,367241504,2197954236.7200003,2348794264.96,17.255718231201172,37588191,094418,094418,0,1/1,1,专用设备,2023-08-30
9,603025,大豪科技,9.986945152282715,16.85,640541440,18665324859.050003,18689594840.800003,3.4559168815612793,106923831,093203,093642,3,3/3,3,专用设备,2023-08-30
13,301128,强瑞技术,20.0,39.06,341751920,1064648615.94,2886011455.32,32.732112884521484,35711776,093542,112154,5,1/1,1,专用设备,2023-08-30
36,300231,银信科技,19.97840118408203,11.11,988823840,3804514332.74,4654682751.84,27.36890983581543,109939671,142451,142451,0,1/1,1,互联网服,2023-08-30
17,603662,柯力传感,10.018552780151367,29.65,547505824,8326605586.2,8376273012.799999,6.678274154663086,47373228,094136,095818,7,2/2,2,仪器仪表,2023-08-30
29,002222,福晶科技,10.0,27.17,1150109216,11563347355.560001,11615175000.0,10.247087478637695,60782007,133915,142524,2,1/1,1,光学光电,2023-08-30
23,002587,奥拓电子,10.01540756225586,7.14,196813136,3664774303.68,4652025302.4,5.478132724761963,300003414,095539,095539,0,1/1,1,光学光电,2023-08-30
24,688602,康鹏科技,19.964664459228516,13.58,487619776,1150615406.5,7053112608.64,44.469852447509766,17451875,095907,105749,5,1/1,1,化学制品,2023-08-30
28,000766,通化金马,10.048623085021973,6.79,462327664,6558937528.99,6562499040.16,7.22808313369751,7310793,130139,144115,11,1/1,1,化学制药,2023-08-30
35,002432,九安医疗,10.002924919128418,37.61,1609318864,17758252771.8,18280960312.8,9.236462593078613,38021679,141800,144903,4,1/1,1,医疗器械,2023-08-30
26,001270,铖昌科技,10.0,85.8,418863856,6113708086.2,13430971039.199999,7.003774166107178,48681547,105133,105303,1,1/1,1,半导体,2023-08-30
16,002077,大港股份,9.972298622131348,15.88,826516848,9215934386.44,9215934370.560001,9.099435806274414,40197044,094130,110636,3,1/1,1,半导体,2023-08-30
18,000670,盈方微,9.948541641235352,6.41,381643792,4628704023.92,5234581377.6,8.360971450805664,81762562,094230,095651,1,1/1,1,半导体,2023-08-30
11,600877,电科芯片,9.97586441040039,13.67,260418283,12603459108.84,16187564530.4,2.0876893997192383,59871674,093418,094412,3,1/1,1,半导体,2023-08-30
10,688135,利扬芯片,19.989534378051758,22.93,214747779,2961414636.32,4569072707.12,7.440131187438965,58023333,093345,093345,0,1/1,1,半导体,2023-08-30
1,000666,经纬纺机,10.062111854553223,8.86,228036102,2600422501.46,6238591800.0,8.769194602966309,228241494,092500,092500,0,1/1,1,多元金融,2023-08-30
27,603515,欧普照明,10.010374069213867,21.21,157775735,15687356213.550001,15831696138.720001,1.0231553316116333,39601593,110221,111706,1,1/1,1,家电行业,2023-08-30
32,603000,人民网,9.997389793395996,42.14,5832823296,46593821099.840004,46593821099.840004,13.313718795776367,241063934,135826,141947,2,1/1,1,文化传媒,2023-08-30
30,002995,天地在线,10.008410453796387,26.16,430513152,2940834161.28,4642209196.8,15.35029125213623,118718160,134821,134821,0,1/1,1,文化传媒,2023-08-30
4,603767,中马传动,10.013175010681152,16.7,85311048,5134331500.0,5134331633.599999,1.6615804433822632,107037380,092502,092502,0,2/2,2,汽车零部,2023-08-30
2,002855,捷荣技术,10.0,11.0,27117288,2707282820.0,2710616502.0,1.0016422271728516,78986512,092500,092500,0,1/1,1,消费电子,2023-08-30
33,603256,宏和科技,10.0,8.25,104250494,7257751875.0,7280728092.0,1.4851677417755127,53964075,140642,140642,0,1/1,1,玻璃玻纤,2023-08-30
7,002613,北玻股份,9.955751419067383,4.97,383016912,2999920423.43,4657734900.0,12.805423736572266,15723474,093030,112606,9,1/1,1,玻璃玻纤,2023-08-30
21,688035,德邦科技,20.00816535949707,58.78,338118016,1810219680.72,8360867200.0,19.158002853393555,27161415,094901,143852,4,1/1,1,电子元件,2023-08-30
6,300514,友讯达,19.983753204345703,14.77,231455287,2294108894.0,2954000000.0,10.10413646697998,55613968,093003,093003,0,1/1,1,电网设备,2023-08-30
3,688191,智洋创新,20.0,21.84,66787987,1597913706.48,3352714026.48,4.179699420928955,66308424,092501,092501,0,2/2,2,电网设备,2023-08-30
8,603326,我乐家居,9.989023208618164,10.02,45172575,3161437053.6,3161437133.7599998,1.4581613540649414,25225029,093134,093134,0,3/3,3,装修建材,2023-08-30
5,600753,庚星股份,9.972041130065918,11.8,112268789,2537472000.0,2717624665.0,4.4246931076049805,48662492,093001,093001,0,2/2,2,贸易行业,2023-08-30
34,002362,汉王科技,10.022676467895508,24.26,520689024,5022627760.96,5930469711.96,10.835349082946777,95803322,141748,141748,0,1/1,1,软件开发,2023-08-30
25,688651,盛邦安全,19.996337890625,65.53,272347856,1033817465.91,4940896470.0,28.190139770507812,80469201,100053,100053,0,2/2,2,软件开发,2023-08-30
14,002261,拓维信息,9.97304630279541,16.32,1476685792,18302317743.36,20462916341.760002,8.255936622619629,270179117,093745,093745,0,1/1,1,软件开发,2023-08-30
22,603220,中贝通信,10.00874137878418,25.17,1618490784,8402297701.2300005,8466397057.920001,19.71246910095215,96836541,095032,132238,2,2/2,2,通信服务,2023-08-30
20,603131,上海沪工,9.97624683380127,13.89,329181904,4416812275.05,4416812205.6,7.558512210845947,36426802,094433,104709,2,1/1,1,通用设备,2023-08-30
12,603315,福鞍股份,9.99083423614502,12.0,50927378,3684315168.0,3684315264.0,1.410433053970337,34057200,093458,093458,0,1/1,1,通用设备,2023-08-30
15,002896,中大力德,9.991079330444336,36.99,530399824,5591825832.150001,5591825832.150001,9.735870361328125,61788022,093800,093800,0,2/2,2,通用设备,2023-08-30
