序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
1,002536,飞龙股份,9.979633331298828,10.8,113578610,5088126801.6,5407687526.400001,2.2322282791137695,119387109,092500,092500,0,1/1,1,汽车零部,2023-03-30
2,603291,联合水务,9.990205764770508,11.23,11799821,475276745.03000003,4752767427.84,2.4827263355255127,106563255,092501,092501,0,4/4,4,公用事业,2023-03-30
3,001309,德明利,10.0,80.08,505758384,1601600000.0,6420558144.0,32.224639892578125,56296240,093136,101130,1,2/2,2,半导体,2023-03-30
4,003013,地铁设计,10.02967357635498,18.54,85118291,1116235851.84,7416185400.0,7.720487594604492,64647126,093618,093618,0,1/1,1,工程咨询,2023-03-30
5,000021,深科技,9.98593521118164,15.64,2086106912,24398375007.280003,24407589813.760002,8.642366409301758,81583714,093754,110857,4,1/1,1,消费电子,2023-03-30
6,002595,豪迈科技,9.988605499267578,28.96,224778978,15446815872.960001,23168000000.0,1.4639710187911987,13214448,093800,133600,21,1/1,1,专用设备,2023-03-30
7,688766,普冉股份,19.99871253967285,186.43,676846816,5469983158.83,9455768191.01,12.682397842407227,1307060,094048,150000,8,1/1,1,半导体,2023-03-30
8,300302,同有科技,20.0,10.92,1090912080,3945487793.52,5291021648.64,28.63953971862793,21695637,095015,143924,8,1/1,1,软件开发,2023-03-30
9,601116,三江购物,10.0,13.75,600181728,7530578000.0,7530578000.0,8.298432350158691,57708186,095750,101559,2,3/3,3,商业百货,2023-03-30
10,002213,大为股份,9.970674514770508,15.0,222671528,3090000000.0,3540000000.0,7.299729824066162,16993500,100000,104030,3,1/1,1,汽车零部,2023-03-30
11,003021,兆威机电,10.001253128051758,87.77,509138496,5290073440.0,15035147049.279999,9.759893417358398,39261451,100112,133254,5,1/1,1,电机,2023-03-30
12,603109,神驰机电,10.006583213806152,16.71,155296995,3456499526.76,3499920194.4,4.587082862854004,26509078,101755,101755,0,1/1,1,汽车零部,2023-03-30
13,600502,安徽建工,10.0,6.05,1019055584,10385030324.9,10385030312.8,9.93377685546875,13072840,102051,144521,5,1/1,1,工程建设,2023-03-30
14,002336,人人乐,10.03636360168457,15.13,439050976,5646137750.0,6657200000.0,8.04990005493164,135806562,104921,104921,0,1/1,1,商业百货,2023-03-30
15,301308,江波龙,19.99761390686035,100.63,1442371696,3419085384.0,41546530081.28,44.61897659301758,89460271,131230,131230,0,1/1,1,半导体,2023-03-30
16,002876,三利谱,10.009289741516113,47.37,625012224,7046661154.559999,8236929228.839999,9.173995018005371,133765632,132139,132139,0,1/1,1,光学光电,2023-03-30
17,600975,新五丰,10.055248260498047,9.96,658459408,6500648816.64,10721733150.720001,10.489693641662598,24438344,132855,132855,0,4/2,1,农牧饲渔,2023-03-30
18,002186,全 聚 德,10.007412910461426,14.84,403392944,4571516982.2,4577605047.68,9.227121353149414,111062530,134900,134900,0,1/1,1,旅游酒店,2023-03-30
19,603868,飞科电器,9.997386932373047,84.17,98343667,36664452000.0,36664452000.0,0.28006359934806824,17474197,144102,144102,0,1/1,1,家电行业,2023-03-30
