序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
28,301289,国缆检测,20.00426483154297,56.27,345016352,1426438929.27,4389060000.0,25.836902618408203,42605168,130351,130351,0,1/1,1,专业服务,2023-11-01
8,600545,卓郎智能,9.923664093017578,2.88,214065014,5149187199.36,5149187205.12,4.213796138763428,39486528,093437,095449,2,1/1,1,专用设备,2023-11-01
26,603015,弘讯科技,10.047281265258789,9.31,114328489,3763278890.0,3763278964.48,3.1274890899658203,63213969,112338,112338,0,1/1,1,专用设备,2023-11-01
14,600520,文一科技,10.0,24.75,1658574560,3921142500.0,3921142500.0,43.08640670776367,53437081,094250,112502,13,12/7,1,专用设备,2023-11-01
11,002786,银宝山新,10.029940605163574,7.35,346127488,3631723200.0,3642748200.0,9.647785186767578,53620704,093803,093803,0,1/1,1,专用设备,2023-11-01
36,002810,山东赫达,9.976387023925781,18.63,223443406,5878757028.87,6377590015.2,3.9318578243255615,70234839,141757,141757,0,1/1,1,化学制品,2023-11-01
30,002476,宝莫股份,10.0,5.39,165113883,3298415620.5,3298680000.0,5.18657112121582,57331133,131527,131527,0,1/1,1,化学制品,2023-11-01
23,003020,立方制药,9.992887496948242,30.93,232582914,2201330597.82,4938750843.0,11.018778800964355,83561694,104157,104157,0,4/2,1,化学制药,2023-11-01
12,002898,赛隆药业,10.006497383117676,16.93,285021024,1714375157.73,2979680000.0,17.946088790893555,89544479,094039,094039,0,3/3,3,化学制药,2023-11-01
7,000670,盈方微,9.938838005065918,7.19,356703584,5191947259.280001,5871550718.400001,6.947847843170166,104490832,093412,093412,0,1/1,1,半导体,2023-11-01
2,002277,友阿股份,10.027100563049316,4.06,34363028,5660341567.999999,5660341567.999999,0.6070839762687683,112137200,092500,092500,0,2/2,2,商业百货,2023-11-01
6,603266,天龙股份,10.014781951904297,29.77,1048074800,5920858547.5,5920858547.5,18.39127540588379,65491142,093328,104040,9,18/9,6,塑料制品,2023-11-01
1,000628,高新发展,10.0,42.35,589580816,8134335594.0,14919058000.0,7.248051166534424,2195753271,092500,092500,0,10/10,10,工程建设,2023-11-01
13,300337,银邦股份,19.944978713989258,8.72,1093297312,6190291001.040001,7167142400.000001,18.247806549072266,122022971,094106,101300,1,1/1,1,有色金属,2023-11-01
17,600335,国机汽车,10.0,8.03,443647024,12011183196.759998,12011183164.64,3.7879486083984375,80964169,095244,095459,2,1/1,1,汽车服务,2023-11-01
20,002454,松芝股份,9.959073066711426,8.06,276887888,5051580594.320001,5066367696.0,5.674549579620361,81651024,101448,101448,0,1/1,1,汽车零部,2023-11-01
32,603037,凯众股份,10.011312484741211,19.45,370912432,2641557579.0499997,2649921468.0499997,14.683514595031738,84891761,132644,132644,0,5/3,1,汽车零部,2023-11-01
21,603048,浙江黎明,9.977949142456055,19.95,195013444,752514000.0,2930256000.0,26.65680503845215,44620130,101634,101634,0,1/1,1,汽车零部,2023-11-01
24,603982,泉峰汽车,10.026385307312012,16.68,303984608,4057550779.2,4359643393.44,7.771850109100342,80104732,104324,104324,0,1/1,1,汽车零部,2023-11-01
19,603390,通达电气,10.04672908782959,9.42,99949310,3312891389.28,3312891464.64,3.0806522369384766,24449610,100143,100301,1,1/1,1,汽车零部,2023-11-01
16,605319,无锡振华,10.005130767822266,21.44,169618240,1428976000.0,5370338003.52,12.224929809570312,80187400,095031,095031,0,1/1,1,汽车零部,2023-11-01
3,002981,朝阳科技,9.990485191345215,34.68,95109181,2939130000.0,3329280000.0,3.2950809001922607,64320996,093048,093048,0,3/3,3,消费电子,2023-11-01
18,600203,福日电子,10.023866653442383,9.22,851418768,5467350116.04,5467350097.6,16.425029754638672,119754338,095537,095952,2,8/4,1,消费电子,2023-11-01
31,603706,东方环宇,10.031949043273926,17.22,120634393,3261170335.08,3261170335.08,3.8650825023651123,42142506,132406,132406,0,1/1,1,燃气,2023-11-01
5,002889,东方嘉盛,10.0,31.46,560844208,3944428216.3,6070527892.0,14.480110168457031,95011716,093233,094809,3,4/4,4,物流行业,2023-11-01
37,600119,长江投资,9.954751014709473,7.29,203040882,2240946000.0,2662820982.72,9.712297439575195,16212303,142354,142500,1,1/1,1,物流行业,2023-11-01
33,300210,森远股份,19.9161434173584,5.72,551890960,2766582441.48,2769738125.44,21.844276428222656,38646173,134512,134512,0,1/1,1,环保行业,2023-11-01
10,002201,正威新材,10.067113876342773,8.2,157995861,5332065891.599999,5343417168.0,3.0370800495147705,60093347,093721,093721,0,4/2,1,玻璃玻纤,2023-11-01
25,600468,百利电气,10.0401611328125,5.48,236722031,5960789559.080001,5960789597.440001,4.158793926239014,77969714,110730,110730,0,1/1,1,电网设备,2023-11-01
34,001238,浙江正特,10.008237838745117,26.71,414442224,854109008.75,2938100000.0,51.520225524902344,47479696,135403,135403,0,4/3,2,装修建材,2023-11-01
4,603929,亚翔集成,10.0,25.85,501210672,5515356000.0,5515356000.0,9.286707878112793,155547205,093101,093101,0,4/4,4,装修装饰,2023-11-01
35,002356,赫美集团,10.0,5.17,101233605,6773481373.12,6779185909.76,1.5559319257736206,35240788,135539,135539,0,1/1,1,贸易行业,2023-11-01
9,603003,龙宇股份,10.0,11.66,438395136,4692491140.04,4692491070.08,9.601531982421875,68605784,093702,094532,1,3/2,1,贸易行业,2023-11-01
