序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
10,600707,彩虹股份,10.0,5.83,516691552,20916114537.56,20920312114.24,2.5199153423309326,48692888,094703,094921,1,1/1,1,光学光电,2023-07-06
7,000020,深华发Ａ,10.041841506958008,13.15,125991526,2382324891.65,3723570200.8,5.485090255737305,80304446,093642,093642,0,3/2,1,光学光电,2023-07-06
12,603110,东方材料,9.992132186889648,27.96,316809104,5626299426.72,5626299426.72,5.717747211456299,12134416,095209,142621,8,1/1,1,化学制品,2023-07-06
5,000691,亚太实业,10.10988998413086,5.01,141303701,1619582700.0,1619582700.0,8.802986145019531,17200817,093030,144515,1,4/3,1,化学制品,2023-07-06
19,001309,德明利,10.003084182739258,107.0,446932624,5126489091.0,8578917600.0,9.076574325561523,27625260,102851,105021,4,1/1,1,半导体,2023-07-06
17,002818,富森美,10.00735855102539,14.95,192117714,4460458169.7,11189461212.8,4.392521381378174,27945167,102015,102015,0,1/1,1,商业百货,2023-07-06
22,002403,爱仕达,9.97150993347168,11.58,421251648,3542744137.32,3944594710.08,12.42131519317627,30024855,105733,105733,0,3/2,1,家电行业,2023-07-06
9,603215,比依股份,10.010009765625,21.98,264842162,1548802017.0,4146705016.02,17.247602462768555,9515142,094145,130754,2,1/1,1,家电行业,2023-07-06
1,002428,云南锗业,10.0,15.84,2919924240,10205939193.12,10345420800.0,28.716672897338867,22960080,092500,133400,15,3/3,3,小金属,2023-07-06
30,000961,中南建设,9.740259170532227,1.69,702074912,6440801035.37,6466884534.24,11.334115982055664,2146778,140557,145403,5,1/1,1,房地产开,2023-07-06
21,000656,金科股份,10.370369911193848,1.49,1219867584,7912796111.33,7956176601.6,16.01879119873047,82529140,105012,105318,1,4/3,2,房地产开,2023-07-06
25,600463,空港股份,10.044642448425293,9.86,103491362,2958000000.0,2958000000.0,3.6140999794006348,17405858,111155,111155,0,1/1,1,房地产开,2023-07-06
27,002146,荣盛发展,10.256410598754883,1.72,477050512,6702016723.72,7478841804.8,7.541872978210449,2935009,134554,134554,0,1/1,1,房地产服,2023-07-06
26,002654,万润科技,10.057143211364746,9.63,952851280,7550656569.81,8140263498.72,13.178921699523926,109030378,134506,134506,0,1/1,1,文化传媒,2023-07-06
2,603045,福达合金,9.989082336425781,20.15,410333248,2729219873.25,2729219873.25,15.085949897766113,82436994,092500,093700,1,3/3,3,有色金属,2023-07-06
11,000980,众泰汽车,10.064934730529785,3.39,1072342944,14534461076.550001,17094236743.68,7.684713840484619,153869388,094957,094957,0,4/3,1,汽车整车,2023-07-06
20,301192,泰祥股份,20.0,30.18,379176576,753745500.0,3014982000.0,55.24679946899414,57853400,104836,104836,0,1/1,1,汽车零部,2023-07-06
32,603048,浙江黎明,9.97693157196045,19.07,216827789,719320400.0,2801001600.0,32.240760803222656,83628643,142601,142601,0,1/1,1,汽车零部,2023-07-06
31,002703,浙江世宝,10.028860092163086,15.25,2421880528,8434169986.75,12042080760.0,31.679306030273438,179866170,142218,143051,1,5/5,5,汽车零部,2023-07-06
16,002976,瑞玛精密,10.01692008972168,32.51,214679605,2101517921.9999998,3916746281.9999995,10.911277770996094,64515119,101839,101900,1,3/2,1,消费电子,2023-07-06
3,600719,大连热电,9.925093650817871,5.87,6238659,2374999652.0,2374999652.0,0.26268044114112854,314698894,092502,092502,0,2/2,2,电力行业,2023-07-06
14,300657,弘信电子,19.989423751831055,22.69,1323636304,10110395282.33,11082024352.16,13.666409492492676,105072783,095421,102618,3,1/1,1,电子元件,2023-07-06
8,002636,金安国纪,10.041841506958008,10.52,213891484,7607087975.44,7658560000.0,2.8674139976501465,67643841,093727,093727,0,1/1,1,电子元件,2023-07-06
18,002134,天津普林,9.98023796081543,11.13,301215360,2736307917.84,2736307917.84,11.226059913635254,181580707,102342,102448,1,1/1,1,电子元件,2023-07-06
29,002892,科力尔,9.992758750915527,15.19,1200159296,4185101300.87,6746630965.76,30.009004592895508,12692247,140530,144345,5,3/2,1,电机,2023-07-06
4,600826,兰生股份,10.047392845153809,11.61,78556128,4846971221.28,6185355860.16,1.6207261085510254,59439171,092502,092502,0,1/1,1,贸易行业,2023-07-06
13,002261,拓维信息,10.010110855102539,21.76,4186992704,24403090324.480003,27337690316.800003,17.522159576416016,461868773,095315,095315,0,1/1,1,软件开发,2023-07-06
6,000004,国华网安,10.018439292907715,17.9,198092199,2128611668.6999998,2377979343.2,9.473779678344727,66416893,093136,093209,1,2/2,2,软件开发,2023-07-06
15,002426,胜利精密,10.176990509033203,2.49,440100272,7844851345.410001,8569379102.880001,5.796175479888916,97064764,095857,095857,0,1/1,1,通用设备,2023-07-06
23,300817,双飞股份,20.026613235473633,18.04,359736384,1792579092.48,3150480199.68,21.491775512695312,82269652,110130,110130,0,1/1,1,通用设备,2023-07-06
24,603667,五洲新春,9.973404884338379,16.54,414405024,5353296389.74,5431481680.96,8.063985824584961,35191264,110506,110506,0,1/1,1,通用设备,2023-07-06
28,001380,华纬科技,9.99033260345459,34.13,141047140,1077561336.19,4398674400.0,13.725358009338379,43523326,140218,140218,0,1/1,1,通用设备,2023-07-06
