时间,标题,简讯,date
2023-11-16 07:03:27,国家开发银行原党委委员、副行长周清玉被开除党籍,"【国家开发银行原党委委员、副行长周清玉被开除党籍】财联社11月16日电，经中共中央批准，中央纪委国家监委对国家开发银行原党委委员、副行长周清玉严重违纪违法问题进行了立案审查调查。

经查，周清玉丧失理想信念，背离党性原则，弃守全面从严治党监督责任，大肆滥用监督执纪权，搞迷信活动，私藏、阅看有严重政治问题的书刊；无视中央八项规定精神，接受私营企业主安排的宴请，违规出入私人会所，借用管理服务对象车辆；违反组织原则，大肆干预、插手金融机构职工录用工作，严重破坏选人用人制度；廉洁底线失守，利用职权为他人谋利，特定关系人收受对方财物，大肆收受礼品、礼金，违规拥有非上市公司股份，搞权色、钱色交易；违规干预",2023-11-16
2023-11-16 07:03:03,收评：创业板指低开低走跌1.85% 抖音概念股逆势爆发,【收评：创业板指低开低走跌1.85% 抖音概念股逆势爆发】财联社11月16日电，大盘全天震荡调整，创业板指领跌。盘面上，抖音概念股午后大涨，佳云科技、广博股份、引力传媒、丽尚国潮等近10股涨停。华为昇腾概念股震荡走强，恒为科技、多伦科技涨停。特斯拉概念股表现活跃，威唐工业涨超10%，铭科精技一度涨停。下跌方面，光伏等新能源赛道股陷入调整，中信博等跌超5%。算力概念股冲高回落，高新发展、利通电子等大跌。总体上个股跌多涨少，全市场超4100只个股下跌。沪深两市今日成交额8507亿，较上个交易日缩量1393亿。板块方面，传媒、抖音概念、华为昇腾、旅游等板块涨幅居前，BC电池、CRO、次新股、锂矿等板,2023-11-16
2023-11-16 06:30:06,韩国考虑对非法卖空者实施长达10年的股票交易禁令,【韩国考虑对非法卖空者实施长达10年的股票交易禁令】财联社11月16日电，韩国金融监督院11月16日表示，韩国正在考虑一系列惩罚非法卖空者的方案，包括禁止他们交易股票长达10年。当局还在寻求限制韩国企业任命非法卖空者担任高管。,2023-11-16
2023-11-16 05:35:10,抖音测试视频内容付费 相关概念股持续走强,【抖音测试视频内容付费 相关概念股持续走强】财联社11月16日电，丽尚国潮午后封板，佳云科技、广博股份、省广集团、中信出版、中国科传等此前涨停，天龙集团、福石控股、因赛集团等涨幅居前。消息面上，抖音于近期测试视频内容付费服务，即用户在平台观看部分视频内容时，需要付费才能解锁全部的内容。,2023-11-16
2023-11-16 05:33:57,习近平：中美两国将推出更多便利人员往来措施,习近平：我今天同拜登总统达成重要共识，两国将推出更多便利人员往来、促进人文交流的措施，包括增加中美客运直航航班，举办中美旅游高层对话，优化签证申请流程等。我们期待着两国人民多走动、多来往、多交流，共同续写新时代两国人民友好的故事！,2023-11-16
2023-11-16 05:22:54,特斯拉皮卡概念持续走高 威唐工业20CM2连板,【特斯拉皮卡概念持续走高 威唐工业20CM2连板】财联社11月16日电，特斯拉皮卡概念持续走高，威唐工业20CM2连板，嵘泰股份冲击涨停，博俊科技、三联锻造、美利信、无锡振华等纷纷冲高。,2023-11-16
2023-11-16 05:18:04,知情人士称国通信托或“踩雷”私募造假,【知情人士称国通信托或“踩雷”私募造假】“杭州30亿量化跑路”事件持续发酵，又有机构涉及。蓝鲸记者从知情人处获悉，国通信托旗下产品或“踩雷”，涉及规模或达30亿元。资料显示，国通信托原为方正东亚信托，截至2022年底，国通信托总资产92亿元，存续信托资产规模1453亿元。（蓝鲸记者 闫军）,2023-11-16
2023-11-16 05:14:48,习近平：首先要回答的是，中美到底是对手，还是伙伴,"【习近平：首先要回答的是，中美到底是对手，还是伙伴】当地时间11月15日晚，习近平主席出席美国友好团体联合举办的欢迎宴会并发表演讲。

习近平强调，我一直在思考，如何让中美关系这艘巨轮避开暗礁浅滩、穿越狂风飞浪，不偏航、不失速、不相撞？首先要回答的是，中美到底是对手，还是伙伴。这是根本的、也是管总的问题。

习近平指出，道理很简单，如果把对方视为最主要竞争对手、最重大地缘政治挑战和步步紧逼的威胁，必然导致错误的政策、采取错误的行动、产生错误的结果。中国愿意同美国做伙伴、做朋友。我们处理中美关系的根本遵循是相互尊重、和平共处、合作共赢。",2023-11-16
2023-11-16 05:05:33,王毅谈中方如何看待中美之间的分歧,"【王毅谈中方如何看待中美之间的分歧】当地时间2023年11月15日，国家主席习近平在美国旧金山同美国总统拜登举行会晤。会晤结束后，中共中央政治局委员、外交部长王毅向媒体介绍情况并答问。

有记者问及双方是否讨论了分歧和敏感问题以及中方的立场和态度，王毅表示，习近平主席强调，中方致力于构建稳定、健康、可持续的中美关系，同时，中国有必须维护的正当利益，有必须捍卫的原则立场，也有必须坚守的红线底线。如果美方执意以竞争为名，围堵打压中国，中方将坚定维护自身主权安全发展利益。

台湾问题始终是中美关系中最重要、最敏感的问题。习近平主席详细阐明了中方的原则立场。中方要求美方恪守一个中国原则，反对“台湾独立",2023-11-16
2023-11-16 05:05:16,王毅介绍中美元首旧金山会晤达成的共识和成果,"【王毅介绍中美元首旧金山会晤达成的共识和成果】当地时间2023年11月15日，国家主席习近平在美国旧金山斐洛里庄园同美国总统拜登举行会晤。会晤结束后，中共中央政治局委员、外交部长王毅应询向媒体介绍了会晤达成的共识和成果。

王毅表示，此次中美元首会晤成果是多方面的，双方在相互尊重和平等互惠基础上，探讨了各领域对话合作，在政治外交、人文交流、全球治理、军事安全等领域达成了20多项共识。其中一些已经在元首会晤前成熟落地，一些是在此次会晤期间协商达成。主要包括：

指导原则上，两国元首认可双方外交团队自巴厘岛会晤以来为讨论中美关系指导原则所做的努力以及取得的共识。强调要相互尊重、和平共处、保持沟通、",2023-11-16
2023-11-16 05:03:39,王毅谈中美元首旧金山会晤对中美关系的影响,"【王毅谈中美元首旧金山会晤对中美关系的影响】当地时间2023年11月15日，国家主席习近平在美国旧金山斐洛里庄园同美国总统拜登举行会晤。会晤结束后，中共中央政治局委员、外交部长王毅应询向媒体介绍了会晤对当前和未来中美关系的影响。

王毅说，旧金山会晤是一次为中美关系增信释疑、管控分歧、拓展合作的重要会晤，也是一次为动荡变革的世界注入确定性、提升稳定性的重要会晤。在两国元首把舵领航下，中美关系这艘巨轮穿越暗礁险滩，从巴厘岛抵达旧金山，殊为不易。但旧金山不是终点，而应该成为新的起点。我们始终相信，中美之间最终应该而且能够找到正确的相处之道，这是历史的必然，时代的潮流，也是人民的期盼。明年是中美建交",2023-11-16
2023-11-16 04:51:26,,习近平：中国从不赌美国输，从不干涉美国内政，也无意挑战和取代美国，乐见一个自信开放、发展繁荣的美国。同样，美国也不要赌中国输，不要干涉中国内政，应该欢迎一个和平、稳定、繁荣的中国。 ,2023-11-16
2023-11-16 04:42:57,“30亿私募跑路”幕后操盘人被控制 杭州瑜瑶2.9亿违约引爆连环雷,【“30亿私募跑路”幕后操盘人被控制 杭州瑜瑶2.9亿违约引爆连环雷】财联社11月16日电，据知情人士透露，深圳汇盛、杭州瑜瑶真正的幕后老板毛崴和杭州瑜瑶的大股东杨泽斌，都于近期被公安机关调查。深圳汇盛、杭州瑜瑶均与此次“私募跑路”事件有关。两家公司的幕后操盘人，均为磐京投资的实际控制人毛崴。杨泽斌与毛崴存在亲属关系。知情人士还透露，引爆此事件的导火索，正是杭州瑜瑶违约。根据上述知情人士透露，有一家上市国企此前曾向杭州瑜瑶投资2.9亿元，赎回时杭州瑜瑶未能兑付造成违约。而违约的诱因，,2023-11-16
2023-11-16 04:21:24,深圳拟取消已实施7年的商品房限价政策？新挂宅地竞价方式改为“单限单竞摇号”,【深圳拟取消已实施7年的商品房限价政策？新挂宅地竞价方式改为“单限单竞摇号”】11月16日，深圳公共资源交易公共服务平台挂出龙华、坪山两宗宅地，两宗宅地总起拍价为8.73亿元，挂牌结束时间为12月15日。记者发现，与以往已成交宅地采取的“三限双竞摇号”竞价方式不同的是，此次挂出的两宗宅地采取的是“单限单竞摇号”方式，即限地价、竞地价，而未对商品房销售价格进行限制。对此，深圳相关业内人士表示，“虽然无法确定未来会不会恢复‘三限双竞摇号’政策，但是仅从新挂宅地的情况来看，深圳确实取消了对商品房售价进行限制这一机制，这也是深圳自2016年开启新房限价后，首次出现重大变化。”（蓝鲸记者 陈业）,2023-11-16
2023-11-16 04:08:24,王毅就中美元首旧金山会晤向媒体介绍情况并答问,"【王毅就中美元首旧金山会晤向媒体介绍情况并答问】当地时间11月15日，国家主席习近平在美国旧金山斐洛里庄园同美国总统拜登举行会晤。会晤结束后，中共中央政治局委员、外交部长王毅向媒体介绍情况并答问。

一、今天，习近平主席同拜登总统举行了会晤，中美两国和国际社会高度关注。两位领导人谈得如何？此次会晤有什么特点？

答：习近平主席是应拜登总统邀请，赴美举行两国元首旧金山会晤，同时应邀出席亚太经合组织领导人非正式会议。刚刚，两国元首在斐洛里庄园的会晤谈得很好，很全面，也很深入。会晤有三个特点：

一是战略性。拜登总统向习近平主席专门发出了一份举行元首会晤的单独邀请，不同于本次APEC期间的双边会见安",2023-11-16
2023-11-16 03:43:30,11月16日午间涨停分析,【11月16日午间涨停分析】今日午盘两市共27股涨停，连板股总数9只，10股封板未遂，封板率为73%（不含ST股、退市股及未开板新股）。个股方面，阿尔茨海默病检测的西陇科学7天6板，芯片产业链的银宝山新5板、元成股份4天3板，光伏板块龙高股份5板，华为产业链的多伦科技4板。,2023-11-16
